Paper ID	Conference	Year	Title	DOI	Link	First Page	Last Page	IEEE Xplore Article Number	INSPEC Controlled	INSPEC Non-Controlled	IEEE Terms	Author Keywords	Abstract	Author Names	Author Affiliations	Author IDs
	InfoVis	21-21 Oct. 1997	H3: laying out large directed graphs in 3D hyperbolic space	10.1109/INFVIS.1997.636718	http://dx.doi.org/10.1109/INFVIS.1997.636718	2	10	636718	data visualisation;diagrams;directed graphs;optimisation;trees (mathematics)	3D hyperbolic space;H3 layout technique;cone tree layout algorithm;data visualization;domain-specific knowledge;euclidean 3-space;graph drawing;hierarchical data;hyperbolic navigation;large directed graphs;node-link diagrams;optimization;spanning tree;subtree pruning;visual clutter	Computer science;File systems;History;Information systems;Mouth;Navigation;Tree graphs;Visualization;Web page design;Web sites		We present the H3 layout technique for drawing large directed graphs as node-link diagrams in 3D hyperbolic space. We can lay out much larger structures than can be handled using traditional techniques for drawing general graphs because we assume a hierarchical nature of the data. We impose a hierarchy on the graph by using domain-specific knowledge to find an appropriate spanning tree. Links which are not part of the spanning tree do not influence the layout but can be selectively drawn by user request. The volume of hyperbolic 3-space increases exponentially, as opposed to the familiar geometric increase of euclidean 3-space. We exploit this exponential amount of room by computing the layout according to the hyperbolic metric. We optimize the cone tree layout algorithm for 3D hyperbolic space by placing children on a hemisphere around the cone mouth instead of on its perimeter. Hyperbolic navigation affords a Focus+Context view of the structure with minimal visual clutter. We have successfully laid out hierarchies of over 20,000 nodes. Our implementation accommodates navigation through graphs too large to be rendered interactively by allowing the user to explicitly prune or expand subtrees.	Munzner, T.	Stanford Univ., CA, USA|c|	37349490300
	InfoVis	21-21 Oct. 1997	Visualizing information on a sphere	10.1109/INFVIS.1997.636759	http://dx.doi.org/10.1109/INFVIS.1997.636759	11	16	636759	bank data processing;data encapsulation;data visualisation;object-oriented languages;object-oriented programming;risk management	IVORY;Java;banking industry;blobby clustering mechanism;encapsulation;energy minimum;financial service providers;information visualization;large data sets;mass-spring system;multidimensional relations;prototype system;risk analysis;semantic analysis;similarity measures;spatial neighborhood;sphere;stock prediction;topological arrangements	Banking;Computer industry;Computer science;Data visualization;Encapsulation;Energy measurement;Fingers;Information retrieval;Multidimensional systems;Risk analysis;Springs;World Wide Web		We describe a method for the visualization of information units on spherical domains which is employed in the banking industry for risk analysis, stock prediction and other tasks. The system is based on a quantification of the similarity of related objects that governs the parameters of a mass-spring system. Unlike existing approaches we initialize all information units onto the inner surface of two concentric spheres and attach them with springs to the outer sphere. Since the spring stiffnesses correspond to the computed similarity measures, the system converges into an energy minimum which reveals multidimensional relations and adjacencies in terms of spatial neighborhoods. Depending on the application scenario our approach supports different topological arrangements of related objects. In order to cope with large data sets we propose a blobby clustering mechanism that enables encapsulation of similar objects by implicit shapes. In addition, we implemented various interaction techniques allowing semantic analysis of the underlying data sets. Our prototype system IVORY is written in Java, and its versatility is illustrated by an example from financial service providers.	Gross, M.H.;Sprenger, T.C.	Dept. of Comput. Sci., Zurich Univ., Switzerland|c|;	37275694700;37374656700
	InfoVis	21-21 Oct. 1997	A spreadsheet approach to information visualization	10.1109/INFVIS.1997.636761	http://dx.doi.org/10.1109/INFVIS.1997.636761	17	24	636761	data structures;data visualisation;spreadsheet programs;user interfaces	complex data set;data complexity;data operations;data types;domain-specific operators;information visualization;inter-cell operations;multidimensional datasets;prototype systems;selection criteria;spreadsheet approach;view operations;viewing parameters;viewing specifications	Arithmetic;Computer science;Costs;Data visualization;Displays;Filtering;Multidimensional systems;Navigation;Programming environments;Prototypes;Software maintenance;Tires		In information visualization, as the volume and complexity of the data increases, researchers require more powerful visualization tools that enable them to more effectively explore multidimensional datasets. We discuss the general utility of a novel visualization spreadsheet framework. Just as a numerical spreadsheet enables exploration of numbers, a visualization spreadsheet enables exploration of visual forms of information. We show that the spreadsheet approach facilitates certain information visualization tasks that are more difficult using other approaches. Unlike traditional spreadsheets, which store only simple data elements and formulas in each cell, a visualization spreadsheet cell can hold an entire complex data set, selection criteria, viewing specifications, and other information needed for a full-fledged information visualization. Similarly, inter-cell operations are far more complex, stretching beyond simple arithmetic and string operations to encompass a range of domain-specific operators. We have built two prototype systems that illustrate some of these research issues. The underlying approach in our work allows domain experts to define new data types and data operations, and enables visualization experts to incorporate new visualizations, viewing parameters, and view operations.	Ed Huai-Hsin Chi;Barry, P.;Riedl, J.;Konstan, J.	Dept. of Comput. Sci., Minnesota Univ., Minneapolis, MN, USA|c|;;;	37362911700;37610041700;37282873000;37282872500
	InfoVis	21-21 Oct. 1997	Adaptive information visualization based on the user&#39;s multiple viewpoints-interactive 3D visualization of the WWW	10.1109/INFVIS.1997.636778	http://dx.doi.org/10.1109/INFVIS.1997.636778	25	28	636778	Internet;data visualisation;graphical user interfaces;human factors;hypermedia;information retrieval;interactive systems	CVI;Internet;RF-Cone;World Wide Web;adaptive information visualization method;graphical user interfaces;hypermedia;information retrieval;interactive 3D visualization;interactive viewpoint selection;multiple viewpoints;semantic relationship;structural relationship	Character generation;Computer graphics;Hardware;Information retrieval;Navigation;Personal communication networks;Research and development;Visualization;Workstations;World Wide Web		We introduce the adaptive information visualization method for hypermedia and the WWW based on the user's multiple viewpoints. We propose two graphical interfaces, the CVI and the RF-Cone. The CVI is the interface for interactive viewpoint selection. We can select a viewpoint reflecting our interests by using the CVI. According to the given viewpoint, the RF-Cone adaptively organizes the 3D representation of the hypermedia so that we can understand the semantic and structural relationship of the hypermedia and easily retrieve the information. Combining these methods, we have developed the WWW visualization system which can provide highly efficient navigation.	Teraoka, T.;Maruyama, M.	Adv. Technol. R&D Center, Mitsubishi Electr. Corp., Amagasaki, Japan|c|;	37361571100;37274551000
	InfoVis	21-21 Oct. 1997	Managing software with new visual representations	10.1109/INFVIS.1997.636782	http://dx.doi.org/10.1109/INFVIS.1997.636782	30	37	636782	data visualisation;project management;scheduling;software development management;statistical analysis;visual programming	data visualization;diverse data types;large data volume management;large project management;multi-million line software project;project resource tracking;scheduling;software development management;statistics;time dependent data viewing;visual programming;visual representations	Computer science;Data visualization;Engineering management;Human resource management;Processor scheduling;Production;Project management;Resource management;Software engineering;Statistics		Managing large projects is a very challenging task requiring the tracking and scheduling of many resources. Although new technologies have made it possible to automatically collect data on project resources, it is very difficult to access this data because of its size and lack of structure. We present three novel glyphs for simplifying this process and apply them to visualizing statistics from a multi-million line software project. These glyphs address four important needs in project management: viewing time dependent data; managing large data volumes; dealing with diverse data types; and correspondence of data to real-world concepts.	Chuah, M.C.;Eick, S.G.	Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA|c|;	;37282570100
	InfoVis	21-21 Oct. 1997	On integrating visualization techniques for effective software exploration	10.1109/INFVIS.1997.636784	http://dx.doi.org/10.1109/INFVIS.1997.636784	38	45	636784	data visualisation;graph theory;graphical user interfaces;hypermedia;reverse engineering;software tools;visual programming	SHriMP;Simple Hierarchical MultiPerspective visualization;animated panning;fisheye-view visualization;hypertext link-following metaphor;multiple focal points;nested graph view;program comprehension;program understanding;reverse engineering;software exploration;software structure;source code browsing;visualization techniques;zooming	Animation;Data structures;Data visualization;Documentation;Information retrieval;Navigation;Programming profession;Software maintenance;Software systems;Software tools;Switches		This paper describes the SHriMP visualization technique for seamlessly exploring software structure and browsing source code, with a focus on effectively assisting hybrid program comprehension strategies. The technique integrates both pan+zoom and fisheye-view visualization approaches for exploring a nested graph view of software structure. The fisheye-view approach handles multiple focal points, which are necessary when examining several subsystems and their mutual interconnections. Source code is presented by embedding code fragments within the nodes of the nested graph. Finer connections among these fragments are represented by a network that is navigated using a hypertext link-following metaphor. SHriMP combines this hypertext metaphor with animated panning and zooming motions over the nested graph to provide continuous orientation and contextual cues for the user. The SHriMP tool is being evaluated in several user studies. Observations of users performing program understanding tasks with the tool are discussed.	Storey, M.-A.D.;Wong, K.;Fracchia, F.D.;Muller, H.A.	Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada|c|;;;	37268043300;37278683200;37611726800;37271730100
	InfoVis	21-21 Oct. 1997	Cacti: a front end for program visualization	10.1109/INFVIS.1997.636785	http://dx.doi.org/10.1109/INFVIS.1997.636785	46	49	636785	data visualisation;program diagnostics;reverse engineering;software tools;visual programming	Cacti;data model;data sources;dynamic analysis;high-quality;multiple data sources;program visualization front end;queries;resource files;software understanding;static analysis;visual universal-relation front end	Computer science;Data models;Data visualization;Displays;History;Information analysis;Programming profession;Software maintenance;Software quality;Software standards;Timing		We describe a system that allows the user to rapidly construct program visualizations over a variety of data sources. Such a system is a necessary foundation for using visualization as an aid to software understanding. The system supports an arbitrary set of data sources so that information from both static and dynamic analysis can be combined to offer meaningful software visualizations. It provides the user with a visual universal-relation front end that supports the definition of queries over multiple data sources without knowledge of the structure or contents of the sources. It uses a flexible back end with a range of different visualizations, most geared to the efficient display of large amounts of data. The result is a high-quality, easy-to-define program visualization that can address specific problems and hence is useful for software understanding. The overall system is flexible and extensible in that both the underlying data model and the set of visualizations are defined in resource files.	Reiss, S.P.	Dept. of Comput. Sci., Brown Univ., Providence, RI, USA|c|	37269712400
	InfoVis	21-21 Oct. 1997	Nonlinear magnification fields	10.1109/INFVIS.1997.636786	http://dx.doi.org/10.1109/INFVIS.1997.636786	51	58	636786	data visualisation;user interfaces	abstract representation;data visualization;data-driven magnifications;explicit foci;magnification brushing;magnification value specification;manipulation;nonlinear magnification fields;transformation routines;user interfaces	Chromium;Computer interfaces;Computer science;Data visualization;Displays;Ear;Focusing;Information systems;Lenses;Nonlinear distortion;Piecewise linear approximation;Piecewise linear techniques;Rubber		We introduce nonlinear magnification fields as an abstract representation of nonlinear magnification, providing methods for converting transformation routines to magnification fields and vice-versa. This new representation provides ease of manipulation and power of expression. By removing the restrictions of explicit foci and allowing precise specification of magnification values, we can achieve magnification effects which were not previously possible. Of particular interest are techniques we introduce for expressing complex and subtle magnification effects through magnification brushing, and allowing intrinsic properties of the data being visualized to create data-driven magnifications.	Keahey, T.A.;Robertson, E.L.	Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA|c|;	;37340580700
	InfoVis	21-21 Oct. 1997	Managing multiple focal levels in Table Lens	10.1109/INFVIS.1997.636787	http://dx.doi.org/10.1109/INFVIS.1997.636787	59	63	636787	data analysis;data visualisation;user interfaces;very large databases	Table Lens;context visualization;data values;design enhancements;exploratory data analysis;focus visualization;graphical representations;large data tables;multiple focal level management;screen space;single pixel row;spreadsheet;user interface	Data analysis;Data visualization;Displays;Lenses;Navigation;Optical design;Rendering (computer graphics)		The Table Lens, focus+context visualization for large data tables, allows users to see 100 times as many data values as a spreadsheet in the same screen space in a manner that enables an extremely immediate form of exploratory data analysis. In the original Table Lens design, data are shown in the context area using graphical representations in a single pixel row. Scaling up the Table Lens technique beyond approximately 500 cases (rows) by 40 variables (columns) requires not showing every value individually and thus raises challenges for preserving the exploratory and navigational ease and power of the original design. We describe two design enhancements for introducing regions of less than a pixel row for each data value and discuss the issues raised by each.	Tenev, T.;Rao, R.	Xerox Palo Alto Res. Center, CA, USA|c|;	37621651000;37616700600
	InfoVis	21-21 Oct. 1997	Coordinating declarative queries with a direct manipulation data exploration environment	10.1109/INFVIS.1997.636788	http://dx.doi.org/10.1109/INFVIS.1997.636788	65	72	636788	data analysis;data visualisation;database management systems;graphical user interfaces;interactive systems;query languages;query processing;visual languages	VQE;Visage;consistency;data analysis;data exploration environment;database systems;dataset;declarative queries;direct manipulation;graphical user interfaces;information centric paradigm;interactive visualization;multiple objects;visual query language	Data analysis;Data visualization;Database languages;Database systems;Feedback;Joining processes;Object oriented modeling;Robot kinematics;User interfaces;Visual databases		Interactive visualization techniques allow data exploration to be a continuous process, rather than a discrete sequence of queries and results as in traditional database systems. However limitations in expressive power of current visualization systems force users to go outside the system and form a new dataset in order to perform certain operations, such as those involving the relationship among multiple objects. Further, there is no support for integrating data from the new dataset into previous visualizations, so users must recreate them. Visage's information centric paradigm provides an architectural hook for linking data across multiple queries, removing this overhead. This paper describes the addition to Visage of a visual query language, called VQE, which allows users to express more complicated queries than in previous interactive visualization systems. Visualizations can be created from queries and vice versa. When either is updated, the other changes to maintain consistency.	Derthick, M.;Roth, S.F.;Kolojejchick, J.	Robotics Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA|c|;;	37444609500;37357418100;37352245400
