Paper ID	Conference	Year	Title	DOI	Link	First Page	Last Page	IEEE Xplore Article Number	INSPEC Controlled	INSPEC Non-Controlled	IEEE Terms	Author Keywords	Abstract	Author Names	Author Affiliations	Author IDs
	InfoVis	10-12 Oct. 2004	Keynote Address: From Information Visualization to Sensemaking: Connecting the Mind&#39;s Eye to the Mind&#39;s Muscle	10.1109/INFVIS.2004.44	http://dx.doi.org/10.1109/INFVIS.2004.44	xii	xii	1382882					Provides an abstract of the keynote presentation and a brief professional biography of the presenter. The complete presentation was not made available for publication as part of the conference proceedings.	Card, S.	Palo Alto Research Center|c|	
	InfoVis	10-12 Oct. 2004	Capstone Address: Visualization as a Medium for Capturing and Sharing Thoughts	10.1109/INFVIS.2004.13	http://dx.doi.org/10.1109/INFVIS.2004.13	xiii	xiii	1382883			Cancer;Collaboration;Collaborative software;Data visualization;Engineering profession;Information analysis;Marine vehicles;Military computing;Organisms;Risk analysis			Roth, S.	MAYA Viz, Ltd and Carnegi Mellon University|c|	38185234100
	InfoVis	0-0 0	An Evaluation of Microarray Visualization Tools for Biological Insight	10.1109/INFVIS.2004.5	http://dx.doi.org/10.1109/INFVIS.2004.5	1	8	1382884	data analysis;data visualisation;genetics;scientific information systems;statistical analysis;very large databases	bioinformatics;data analysis;data visualization;gene expression microarrays;life sciences;microarray visualization tools	Bioinformatics;Biology computing;Computer science;Data analysis;Data visualization;Gene expression;Testing;Time measurement;Usability;User interfaces	Data visualization;bioinformatics;empirical evaluation;high throughput experiments;insight;microarray data	High-throughput experiments such as gene expression microarrays in the life sciences result in large datasets. In response, a wide variety of visualization tools have been created to facilitate data analysis. Biologists often face a dilemma in choosing the best tool for their situation. The tool that works best for one biologist may not work well for another due to differences in the type of insight they seek from their data. A primary purpose of a visualization tool is to provide domain-relevant insight into the data. Ideally, any user wants maximum information in the least possible time. In this paper we identify several distinct characteristics of insight that enable us to recognize and quantify it. Based on this, we empirically evaluate five popular microarray visualization tools. Our conclusions can guide biologists in selecting the best tool for their data, and computer scientists in developing and evaluating visualizations	Saraiya, P.;North, C.;Duca, K.	Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA|c|;;	37419557200;37419565900;37419559500
	InfoVis	0-0 0	User Experiments with Tree Visualization Systems	10.1109/INFVIS.2004.70	http://dx.doi.org/10.1109/INFVIS.2004.70	9	16	1382885	data visualisation;human computer interaction;task analysis;tree data structures;user interfaces;video recording	Windows Explorer;baseline system;directory hierarchy;information visualization;tree visualization systems;user interaction;user satisfaction;video recordings	Chromium;Filtering;Graphical user interfaces;Human factors;Testing;Tree data structures;User interfaces;Video recording;Visualization;Web page design	accuracy;design recommendations;experimental comparison;information visualization;task performance;user interaction;user satisfaction	This paper describes a comparative experiment with five well-known tree visualization systems, and Windows Explorer as a baseline system. Subjects performed tasks relating to the structure of a directory hierarchy, and to attributes of files and directories. Task completion times, correctness and user satisfaction were measured, and video recordings of subjects' interaction with the systems were made. Significant system and task type effects and an interaction between system and task type were found. Qualitative analyses of the video recordings were thereupon conducted to determine reasons for the observed differences, resulting in several findings and design recommendations as well as implications for future experiments with tree visualization systems	Kobsa, A.	California Univ., Irvine, CA|c|	37326091300
	InfoVis	0-0 0	A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations	10.1109/INFVIS.2004.1	http://dx.doi.org/10.1109/INFVIS.2004.1	17	24	1382886	data visualisation;graph theory;matrix algebra	adjacency matrices;graph representations;matrix-based representations;matrix-based visualization;node-link diagrams	Computer displays;Computer graphics;Image generation;Layout;Taxonomy;User interfaces;Visualization	Visualization of graphs;adjacency matrices;evaluation;node-link representation;readability	In this paper, we describe a taxonomy of generic graph related tasks and an evaluation aiming at assessing the readability of two representations of graphs: matrix-based representations and node-link diagrams. This evaluation bears on seven generic tasks and leads to important recommendations with regard to the representation of graphs according to their size and density. For instance, we show that when graphs are bigger than twenty vertices, the matrix-based visualization performs better than node-link diagrams on most tasks. Only path finding is consistently in favor of node-link diagrams throughout the evaluation	Ghoniem, M.;Fekete, J.;Castagliola, P.	Ecole des Mines de Nantes|c|;;	37928384500;37407972900;37939616200
	InfoVis	0-0 0	GeoTime Information Visualization	10.1109/INFVIS.2004.27	http://dx.doi.org/10.1109/INFVIS.2004.27	25	32	1382887	data analysis;data visualisation;geographic information systems;interactive systems;spatiotemporal phenomena;temporal databases;tracking;visual databases	GeoTime information visualization;business analysis tasks;geography;geospatial display;interactive 3D view;link analysis;military users;spatiotemporal phenomena;visual data analysis	Animation;Data analysis;Data visualization;Displays;Geographic Information Systems;Geography;Humans;Information analysis;Military computing;Spatiotemporal phenomena	3-D visualization;geospatial;interactive visualization;link analysis;spatiotemporal;visual data analysis	Analyzing observations over time and geography is a common task but typically requires multiple, separate tools. The objective of our research has been to develop a method to visualize, and work with, the spatial interconnectedness of information over time and geography within a single, highly interactive 3D view. A novel visualization technique for displaying and tracking events, objects and activities within a combined temporal and geospatial display has been developed. This technique has been implemented as a demonstratable prototype called GeoTime in order to determine potential utility. Initial evaluations have been with military users. However, we believe the concept is applicable to a variety of government and business analysis tasks	Kapler, T.;Wright, W.	;	37704437500;37654961400
	InfoVis	0-0 0	RecMap: Rectangular Map Approximations	10.1109/INFVIS.2004.57	http://dx.doi.org/10.1109/INFVIS.2004.57	33	40	1382888	cartography;data mining;data visualisation;geographic information systems;statistical analysis;visual databases	RecMap;cartography;classical area maps;data mining;geographic visualization;geospatial statistical data;information visualization;rectangular map approximations;value-by-area maps	Automatic control;Computer displays;Data analysis;Data visualization;Humans;Information analysis;Shape;Topology;Transaction databases;Visual databases	Database and Data Mining Visualization;Geographic Visualization;Information Visualization	In many application domains, data is collected and referenced by its geospatial location. Nowadays, different kinds of maps are used to emphasize the spatial distribution of one or more geospatial attributes. The nature of geospatial statistical data is the highly nonuniform distribution in the real world data sets. This has several impacts on the resulting map visualizations. Classical area maps tend to highlight patterns in large areas, which may, however, be of low importance. Cartographers and geographers used cartograms or value-by-area maps to address this problem long before computers were available. Although many automatic techniques have been developed, most of the value-by-area cartograms are generated manually via human interaction. In this paper, we propose a novel visualization technique for geospatial data sets called RecMap. Our technique approximates a rectangular partition of the (rectangular) display area into a number of map regions preserving important geospatial constraints. It is a fully automatic technique with explicit user control over all exploration constraints within the exploration process. Experiments show that our technique produces visualizations of geospatial data sets, which enhance the discovery of global and local correlations, and demonstrate its performance in a variety of applications	Heilmann, R.;Keim, D.A.;Panse, C.;Sips, M.	;;;	37943636700;37283138700;37282557300;37827860500
	InfoVis	0-0 0	EZEL: a Visual Tool for Performance Assessment of Peer-to-Peer File-Sharing Network	10.1109/INFVIS.2004.25	http://dx.doi.org/10.1109/INFVIS.2004.25	41	48	1382889	computer displays;data visualisation;distributed databases;file servers;peer-to-peer computing	EZEL visual tool;data visualization;distributed file systems;faded cushioning;peer-to-peer file-sharing networks	Chromium;Computer displays;Computer graphics;Computer interfaces;Data visualization;Distributed processing;File servers;Network servers;Peer to peer computing;Scattering	P2P file-sharing networks visualization;distributed file systems visualization;process visualization;small displays	In this paper we present EZEL, a visual tool we developed for the performance assessment of peer-to-peer file-sharing networks. We start by identifying the relevant data transferred in this kind of networks and the main performance assessment questions. Then we describe the visualization of data from two different points of view. First we take servers as focal points and we introduce a new technique, faded cushioning, which allows visualizing the same data from different perspectives. Secondly, we present the viewpoint of files, and we expose the correlations with the server stance via a special scatter plot. Finally, we discuss how our tool, based on the described techniques, is effective in the performance assessment of peer-to-peer file-sharing networks	Voinea, L.;Telea, A.	Technische Univ. Eindhoven|c|;	37267197100;37268047100
	InfoVis	0-0 0	A History Mechanism for Visual Data Mining	10.1109/INFVIS.2004.2	http://dx.doi.org/10.1109/INFVIS.2004.2	49	56	1382890	data mining;data visualisation;distributed databases;graphical user interfaces;history;very large databases;visual databases	data visualization;history management unit;history mechanism;visual data mining	Computer industry;Computer science;Data mining;Data visualization;Design automation;Electronic mail;History;Mining industry;Software systems;User interfaces	History;Undo/Redo;Visual data mining;Visualization	A major challenge of current visualization and visual data mining (VDM) frameworks is to support users in the orientation in complex visual mining scenarios. An important aspect to increase user support and user orientation is to use a history mechanism that, first of all, provides un- and redoing functionality. In this paper, we present a new approach to include such history functionality into a VDM framework. Therefore, we introduce the theoretical background, outline design and implementation aspects of a history management unit, and conclude with a discussion showing the usefulness of our history management in a VDM framework	Kreuseler, M.;Nocke, T.	SD Industries GmbH, Gundelfingen|c|;	37938665500;37567262900
	InfoVis	0-0 0	Steerable, Progressive Multidimensional Scaling	10.1109/INFVIS.2004.60	http://dx.doi.org/10.1109/INFVIS.2004.60	57	64	1382891	computational complexity;computational geometry;data structures;data visualisation;graphical user interfaces;interactive systems;iterative methods;very large databases	MDSteer;bin hierarchy;data point similarity;data visualization tool;hierarchical data structures;progressive multidimensional scaling;spring model approach	Chromium;Costs;Data structures;Data visualization;Engines;Iterative algorithms;Large-scale systems;Multidimensional systems;Psychology;Springs	dimensionality reduction;multidimensional scaling	Current implementations of multidimensional scaling (MDS), an approach that attempts to best represent data point similarity in a low-dimensional representation, are not suited for many of today's large-scale datasets. We propose an extension to the spring model approach that allows the user to interactively explore datasets that are far beyond the scale of previous implementations of MDS. We present MDSteer, a steerable MDS computation engine and visualization tool that progressively computes an MDS layout and handles datasets of over one million points. Our technique employs hierarchical data structures and progressive layouts to allow the user to steer the computation of the algorithm to the interesting areas of the dataset. The algorithm iteratively alternates between a layout stage in which a subselection of points are added to the set of active points affected by the MDS iteration, and a binning stage which increases the depth of the bin hierarchy and organizes the currently unplaced points into separate spatial regions. This binning strategy allows the user to select onscreen regions of the layout to focus the MDS computation into the areas of the dataset that are assigned to the selected bins. We show both real and common synthetic benchmark datasets with dimensionalities ranging from 3 to 300 and cardinalities of over one million points	Williams, M.;Munzner, T.	British Columbia Univ., Vancouver, BC|c|;	37926388300;37349490300
