"Paper ID"	"Paper Title"	"Abstract"	"Keywords"	"starting page"	"page range"	"Author 1: First Name"	"Author 1: Surname"	"Author 1: Affiliation"	"Author 2: First Name"	"Author 2: Surname"	"Author 2: Affiliation"	"Author 3: First Name"	"Author 3: Surname"	"Author 3: Affiliation"	"Author 4: First Name"	"Author 4: Surname"	"Author 4: Affiliation"	"Author 5: First Name"	"Author 5: Surname"	"Author 5: Affiliation"	"Author 6: First Name"	"Author 6: Surname"	"Author 6: Affiliation"	"Author 7: First Name"	"Author 7: Surname"	"Author 7: Affiliation"	"Author 8: First Name"	"Author 8: Surname"	"Author 8: Affiliation"	"Author 9: First Name"	"Author 9: Surname"	"Author 9: Affiliation"
"ttg2012121962"	"A Partition&#x002D;Based Framework for Building and Validating Regression Models"	"Regression models play a key role in many application domains for analyzing or predicting a quantitative dependent variable based on one or more independent variables. Automated approaches for building regression models are typically limited with respect "	"Regression, model building, visual knowledge discovery, feature selection, data partitioning, guided visualization"	1962	"1962&#x002D;1971"	"Thomas"	"M&#x00FC;hlbacher"	"VRVis Research Center"	"Harald"	"Piringer"	"VRVis Research Center"																					
"ttg2012121972"	"Decision Exploration Lab: A Visual Analytics Solution for Decision Management"	"We pesent a visual analytics solution designed to address prevalent issues in the area of Operational Decision Management (ODM). In ODM, which has its roots in Artificial Intelligence (Expert Systems) and Management Science, it is increasingly important t"	"Decision support systems; Model validation and Analysis; Multivariate statistics; Program Analysis"	1972	"1972&#x002D;1981"	"Bertjan"	"Broeksema"	"IBM France Center for Advanced Studies, Institute Johann Bernoulli, University of Groningen, The Netherlands and INRIA, University of Bordeaux, France"	"Thomas"	"Baudel"	"IBM France Center for Advanced Studies"	"Alex"	"Telea"	"Institute Johann Bernoulli, University of Groningen, The Netherlands"	"Paolo"	"Crisafulli"	"IBM France."															
"ttg2012121982"	"Vis4Heritage: Visual Analytics Approach on Grotto Wall Painting Degradations"	"For preserving the grotto wall paintings and protecting these historic cultural icons from the damage and deterioration in nature environment, a visual analytics framework and a set of tools are proposed for the discovery of degradation patterns. In compa"	"Cultural Heritage, Wall Paintings, Degradation, Visual Analytics"	1982	"1982&#x002D;1991"	"Jiawan"	"Zhang"	"School of Computer Software and Information Technology Research Center for Cultural Heritage Conservation and Promotion, Tianjin University"	"Kai"	"Kang"	"School of Computer Software, Tianjin University"	"Dajian"	"Liu"	"School of Computer Software, Tianjin University"	"Ye"	"Yuan"	"School of Computer Software, Tianjin University"	"Yanli"	"E"	"School of Computer Software, Tianjin University"												
"ttg2012121992"	"UTOPIAN: User&#x002D;driven Topic Modeling Based on Interactive Nonnegative Matrix Factorization"	"Topic modeling has been widely used for analyzing text document collections. Recently, there have been significant advancements in various topic modeling techniques, particularly in the form of probabilistic graphical modeling. State&#x002D;of&#x002D;the&"	"Latent dirichlet allocation, nonnegative matrix factorization, topic modeling, visual analytics, interactive clustering, text analytics"	1992	"1992&#x002D;2001"	"Jaegul"	"Choo"	"Georgia Institute of Technology"	"Changhyun"	"Lee"	"Georgia Institute of Technology"	"Chandan K."	"Reddy"	"Wayne State University"	"Haesun"	"Park"	"Georgia Institute of Technology"															
"ttg2012122002"	"HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies"	"Analyzing large textual collections has become increasingly challenging given the size of the data available and the rate that more data is being generated. Topic&#x002D;based text summarization methods coupled with interactive visualizations have present"	"Hierarchical topic representation, topic modeling, visual analytics, rose tree"	2002	"2002&#x002D;2011"	"Wenwen"	"Dou"	"University of North Carolina at Charlotte"	"Li"	"Yu"	"University of North Carolina at Charlotte"	"Xiaoyu"	"Wang"	"University of North Carolina at Charlotte"	"Zhiqiang"	"Ma"	"University of North Carolina at Charlotte"	"William"	"Ribarsky"	"University of North Carolina at Charlotte"												
"ttg2012122012"	"Visual Analysis of Topic Competition on Social Media"	"How do various topics compete for public attention when they are spreading on social media? What roles do opinion leaders play in the rise and fall of competitiveness of various topics? In this study, we propose an expanded topic competition model to char"	"Social media visuaization, topic competition, information diffusion, information propagation, agenda&#x002D;setting"	2012	"2012&#x002D;2021"	"Panpan"	"Xu"	"Hong Kong University of Science and Technology"	"Yingcai"	"Wu"	"Microsoft Research Asia"	"Enxun"	"Wei"	"Shanghai Jiao Tong University"	"Tai&#x002D;Quan"	"Peng"	"Nanyang Technological University"	"Shixia"	"Liu"	"Microsoft Research Asia"	"Jonathan J.H."	"Zhu"	"City University of Hong Kong"	"Huamin"	"Qu"	"Hong Kong University of Science and Technology"						
"ttg2012122022"	"ScatterBlogs2: Real&#x002D;Time Monitoring of Microblog Messages through User&#x002D;Guided Filtering"	"The number of microblog posts published daily has reached a level that hampers the effective retrieval of relevant messages, and the amount of information conveyed through services such as Twitter is still increasing. Analysts require new methods for moni"	"Microblog analysis, Twitter, text analytics, social media monitoring, live monitoring, visual analytics, information visualization, filter construction, query construction, text classification"	2022	"2022&#x002D;2031"	"Harald"	"Bosch"	"Visualization and Interactive Systems, University of Stuttgart"	"Dennis"	"Thom"	"Visualization and Interactive Systems, University of Stuttgart"	"Florian"	"Heimerl"	"Visualization and Interactive Systems, University of Stuttgart"	"Edwin"	"P&#x00FC;ttmann"	"Visualization and Interactive Systems, University of Stuttgart"	"Steffen"	"Koch"	"Visualization and Interactive Systems, University of Stuttgart"	"Robert"	"Kr&#x00FC;ger"	"Visualization and Interactive Systems, University of Stuttgart"	"Michael"	"W&#x00F6;rner"	"Visualization and Interactive Systems, University of Stuttgart"	"Thomas"	"Ertl"	"Visualization and Interactive Systems, University of Stuttgart"			
"ttg2012122032"	"Visual Analytics for Multimodal Social Network Analysis: A Design Study with Social Scientists"	"Social network analysis (SNA) is becoming increasingly concerned not only with actors and their relations, but also with distinguishing between different types of such entities. For example, social scientists may want to investigate asymmetric relations i"	"Design study, user&#x002D;centered design, node&#x002D;link diagrams, multimodal graphs, interaction, qualitative evaluation"	2032	"2032&#x002D;2041"	"Sohaib"	"Ghani"	"School of Electrical and Computer Engineering, Purdue University"	"Bum Chul"	"Kwon"	"School of Industrial Engineering, Purdue University"	"Seungyoon"	"Lee"	"Brian Lamb School of Communication, Purdue University"	"Ji Soo"	"Yi"	"School of Industrial Engineering, Purdue University"	"Niklas"	"Elmqvist"	"School of Electrical and Computer Engineering, Purdue University"												
"ttg2012122042"	"Explainers: Expert Explorations with Crafted Projections"	"This paper introduces an approach to exploration and discovery in high&#x002D;dimensional data that incorporates a user&#x0027;s knowledge and questions to craft sets of projection functions meaningful to them. Unlike most prior work that defines projecti"	"High&#x002D;dimensional spaces, exploration, support vector machines"	2042	"2042&#x002D;2051"	"Michael"	"Gleicher"	"Department of Computer Sciences, University of Wisconsin &#x002D; Madison"																								
"ttg2012122052"	"Semantics of Directly Manipulating Spatializations"	"When high&#x002D;dimensional data is visualized in a 2D plane by using parametric projection algorithms, users may wish to manipulate the layout of the data points to better reflect their domain knowledge or to explore alternative structures. However, few"	"Visual to parametric interaction, visual analytics, statistical models"	2052	"2052&#x002D;2059"	"Xinran"	"Hu"	"Virginia Tech"	"Lauren"	"Bradel"	"Virginia Tech"	"Dipayan "	"Maiti"	"Virginia Tech"	"Leanna "	"House"	"Virginia Tech"	"Chris "	"North"	"Virginia Tech"	"Scotland"	"Leman"	"Virginia Tech"									
