Paper ID,Paper Title,Abstract,Keywords,starting page,page range,Author 1: First Name,Author 1: Surname,Author 1: Affiliation,Author 2: First Name,Author 2: Surname,Author 2: Affiliation,Author 3: First Name,Author 3: Surname,Author 3: Affiliation,Author 4: First Name,Author 4: Surname,Author 4: Affiliation,Author 5: First Name,Author 5: Surname,Author 5: Affiliation,Author 6: First Name,Author 6: Surname,Author 6: Affiliation,Author 7: First Name,Author 7: Surname,Author 7: Affiliation,Author 8: First Name,Author 8: Surname,Author 8: Affiliation,Author 9: First Name,Author 9: Surname,Author 9: Affiliation
295,Saliency-Assisted Navigation of Very Large Landscape Images,"The field of visualization has addressed navigation of very large datasets, usually meshes and volumes. Significantly less attention has been devoted to the issues surrounding navigation of very large images. In the last few years the explosive growth in the resolution of camera sensors and robotic image acquisition techniques has widened the gap between the display and image resolutions to three orders of magnitude or more. This paper presents the first steps towards navigation of very large images, particularly landscape images, from an interactive visualization perspective. The grand challenge in navigation of very large images is identifying regions of potential interest. In this paper we outline a three-step approach. In the first step we use multi-scale saliency to narrow down the potential areas of interest. In the second step we outline a method based on statistical signatures to further cull out regions of high conformity. In the final step we allow a user to interactively identify the exceptional regions of high interest that merit further attention. We show that our approach of progressive elicitation is fast and allows rapid identification of regions of interest. Unlike previous work in this area, our approach is scalable and computationally reasonable on very large images. We validate the results of our approach by comparing them to user-tagged regions of interest on several very large landscape images from the Internet.","Image Saliency, Very Large Scale Images, Scene Perception, Interactive Visualization, Anomaly Detection, Guided Interaction.",1737,1737-1746,Cheuk Yiu,Ip,University of Maryland,Amitabh,Varshney,University of Maryland,,,,,,,,,,,,,,,,,,,,,
115,Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,"Video storyboard, which is a form of video visualization, summarizes the major events in a video using illustrative visualization. There are three main technical challenges in creating a video storyboard, (a) event classification, (b) event selection and (c) event illustration. Among these challenges, (a) is highly application-dependent and requires a significant amount of application specific semantics to be encoded in a system or manually specified by users. This paper focuses on challenges (b) and (c). In particular, we present a framework for hierarchical event representation, and an importance-based selection algorithm for supporting the creation of a video storyboard from a video. We consider the storyboard to be an event summarization for the whole video, whilst each individual illustration on the board is also an event summarization but for a smaller time window. We utilized a 3D visualization template for depicting and annotating events in illustrations. To demonstrate the concepts and algorithms developed, we use Snooker video visualization as a case study, because it has a concrete and agreeable set of semantic definitions for events and can make use of existing techniques of event detection and 3D reconstruction in a reliable manner. Nevertheless, most of our concepts and algorithms developed for challenges (b) and (c) can be applied to other application areas.","Multimedia visualization, Time series data, Illustrative visualization.",1747,1747-1756,Matthew,Parry,Swansea University,Philip,Legg,Swansea University,David,Chung,Swansea University,Iwan,Griffiths,Swansea University,Min,Chen,Swansea University,,,,,,,,,,,,
370,Artificial Defocus for Displaying Markers in Microscopy Z-Stacks,"As microscopes have a very shallow depth of field, Z-stacks (i.e. sets of images shot at different focal planes) are often acquired to fully capture a thick sample. Such stacks are viewed by users by navigating them through the mouse wheel. We propose a new technique of visualizing 3D point, line or area markers in such focus stacks, by displaying them with a depth-dependent defocus, simulating the microscope's optics; this leverages on the microscopists' ability to continuously twiddle focus, while implicitly performing a shape-from-focus reconstruction of the 3D structure of the sample. User studies confirm that the approach is effective, and can complement more traditional techniques such as color-based cues. We provide two implementations, one of which computes defocus in real time on the GPU, and examples of their application.","Depth of field, Microscopy, Focus stacks.",1757,1757-1764,Alessandro,Giusti,"Dalle Molle Institute for Artificial Intelligence, Lugano, Switzerland",Pierluigi,Taddei,"JRC, Ispra",Giorgio,Corani,"Dalle Molle Institute for Artificial Intelligence, Lugano, Switzerland",Luca,Gambardella,"Dalle Molle Institute for Artificial Intelligence, Lugano, Switzerland",Cristina,Magli,"International Institute of Reproductive Medicine, Lugano, Switzerland",Luca,Gianaroli,"International Institute of Reproductive Medicine, Lugano, Switzerland",,,,,,,,,
254,Visualization of Topological Structures in Area-Preserving Maps,"Area-preserving maps are found across a wide range of scientific and engineering problems. Their study is made challenging by the significant computational effort typically required for their inspection but more fundamentally by the fractal complexity of salient structures. The visual inspection of these maps reveals a remarkable topological picture consisting of fixed (or periodic) points embedded in so-called island chains, invariant manifolds, and regions of ergodic behavior. This paper is concerned with the effective visualization and precise topological analysis of area-preserving maps with two degrees of freedom from numerical or analytical data. Specifically, a method is presented for the automatic extraction and characterization of fixed points and the computation of their invariant manifolds, also known as separatrices, to yield a complete picture of the structures present within the scale and complexity bounds selected by the user. This general approach offers a significant improvement over the visual representations that are so far available for area-preserving maps. The technique is demonstrated on a numerical simulation of magnetic confinement in a fusion reactor.","Poincaré map, dynamical systems, topology, chaos, area-preserving maps, invariant manifolds.",1765,1765-1774,Xavier,Tricoche,Purdue University,Christoph,Garth,UC Davis,Allen,Sanderson,University of Utah,,,,,,,,,,,,,,,,,,
121,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,"Medical imaging plays a central role in a vast range of healthcare practices. The usefulness of 3D visualizations has been demonstrated for many types of treatment planning. Nevertheless, full access to 3D renderings outside of the radiology department is still scarce even for many image-centric specialties. Our work stems from the hypothesis that this under-utilization is partly due to existing visualization systems not taking the prerequisites of this application domain fully into account. We have developed a medical visualization table intended to better fit the clinical reality. The overall design goals were two-fold: similarity to a real physical situation and a very low learning threshold. This paper describes the development of the visualization table with focus on key design decisions. The developed features include two novel interaction components for touch tables. A user study including five orthopedic surgeons demonstrates that the system is appropriate and useful for this application domain.","medical visualization, multitouch, tabletop display, treatment planning.",1775,1775-1784,Claes,Lundström,"Center for Medical Image Science and Visualization, Linköping University, Sweden \ Sectra Imtec AB, Sweden",Thomas,Rydell,"Interactive Institute, Norrköping, Sweden",Camilla,Forsell,"C-research, Linköping University, Sweden",Anders,Persson,"Center for Medical Image Science and Visualization, Linköping University, Sweden",Anders,Ynnerman,"C-research, Linköping University, Sweden",,,,,,,,,,,,
392,Load-Balanced Parallel Streamline Generation on Large Scale Vector Fields,"Because of the ever increasing size of output data from scientific simulations, supercomputers are increasingly relied upon to generate visualizations. One use of supercomputers is to generate field lines from large scale flow fields. When generating field lines in parallel, the vector field is generally decomposed into blocks, which are then assigned to processors. Since various regions of the vector field can have different flow complexity, processors will require varying amounts of computation time to trace their particles, causing load imbalance, and thus limiting the performance speedup. To achieve load-balanced streamline generation, we propose a workload-aware partitioning algorithm to decompose the vector field into partitions with near equal workloads. Since actual workloads are unknown beforehand, we propose a workload estimation algorithm to predict the workload in the local vector field. A graph-based representation of the vector field is employed to generate these estimates. Once the workloads have been estimated, our partitioning algorithm is hierarchically applied to distribute the workload to all partitions. We examine the performance of our workload estimation and workload-aware partitioning algorithm in several timings studies, which demonstrates that by employing these methods, better scalability can be achieved with little overhead.","Flow visualization, Parallel processing, 3D vector field visualization, Streamlines.",1785,1785-1794,Boonthanome,Nouanesengsy,The Ohio State University,Teng-Yok,Lee,The Ohio State University,Han-Wei,Shen,The Ohio State University,,,,,,,,,,,,,,,,,,
128,Extinction-Based Shading and Illumination in GPU Volume Ray-Casting,"Direct volume rendering has become a popular method for visualizing volumetric datasets. Even though computers are continually getting faster, it remains a challenge to incorporate sophisticated illumination models into direct volume rendering while maintaining interactive frame rates. In this paper, we present a novel approach for advanced illumination in direct volume rendering based on GPU ray-casting. Our approach features directional soft shadows taking scattering into account, ambient occlusion and color bleeding effects while achieving very competitive frame rates. In particular, multiple dynamic lights and interactive transfer function changes are fully supported. Commonly, direct volume rendering is based on a very simplified discrete version of the original volume rendering integral, including the development of the original exponential extinction into a-blending. In contrast to a-blending forming a product when sampling along a ray, the original exponential extinction coefficient is an integral and its discretization a Riemann sum. The fact that it is a sum can cleverly be exploited to implement volume lighting effects, i.e. soft directional shadows, ambient occlusion and color bleeding. We will show how this can be achieved and how it can be implemented on the GPU.","Volume Rendering, Shadows, Ambient Occlusion, GPU Ray-Casting, Exponential Extinction.",1795,1795-1802,Philipp,Schlegel,University of Zurich,Maxim,Makhinya,University of Zurich,Renato,Pajarola,University of Zurich,,,,,,,,,,,,,,,,,,
265,GPU-Based Interactive Cut-Surface Extraction From High-Order Finite Element Fields,"We present a GPU-based ray-tracing system for the accurate and interactive visualization of cut-surfaces through 3D simulations of physical processes created from spectral/hp high-order finite element methods. When used by the numerical analyst to debug the solver, the ability for the imagery to precisely reflect the data is critical. In practice, the investigator interactively selects from a palette of visualization tools to construct a scene that can answer a query of the data. This is effective as long as the implicit contract of image quality between the individual and the visualization system is upheld. OpenGL rendering of scientific visualizations has worked remarkably well for exploratory visualization for most solver results. This is due to the consistency between the use of first-order representations in the simulation and the linear assumptions inherent in OpenGL (planar fragments and color-space interpolation). Unfortunately, the contract is broken when the solver discretization is of higher-order. There have been attempts to mitigate this through the use of spatial adaptation and/or texture mapping. These methods do a better job of approximating what the imagery should be but are not exact and tend to be view-dependent. This paper introduces new rendering mechanisms that specifically deal with the kinds of native data generated by high-order finite element solvers. The exploratory visualization tools are reassessed and cast in this system with the focus on image accuracy. This is accomplished in a GPU setting to ensure interactivity.","High-order finite elements, spectral/hp elements, cut-plane extraction, GPU-based root-finding, GPU ray-tracing, cutsurface extraction.",1803,1803-1811,Blake,Nelson,University of Utah,Robert M.,Kirby,University of Utah,Robert,Haimes,MIT,,,,,,,,,,,,,,,,,,
262,GPU-based Real-time Approximation of the Ablation Zone for Radiofrequency Ablation,"Percutaneous radiofrequency ablation (RFA) is becoming a standard minimally invasive clinical procedure for the treatment of liver tumors. However, planning the applicator placement such that the malignant tissue is completely destroyed, is a demanding task that requires considerable experience. In this work, we present a fast GPU-based real-time approximation of the ablation zone incorporating the cooling effect of liver vessels. Weighted distance fields of varying RF applicator types are derived from complex numerical simulations to allow a fast estimation of the ablation zone. Furthermore, the heat-sink effect of the cooling blood flow close to the applicator's electrode is estimated by means of a preprocessed thermal equilibrium representation of the liver parenchyma and blood vessels. Utilizing the graphics card, the weighted distance field incorporating the cooling blood flow is calculated using a modular shader framework, which facilitates the real-time visualization of the ablation zone in projected slice views and in volume rendering. The proposed methods are integrated in our software assistant prototype for planning RFA therapy. The software allows the physician to interactively place virtual RF applicator models. The real-time visualization of the corresponding approximated ablation zone facilitates interactive evaluation of the tumor coverage in order to optimize the applicator's placement such that all cancer cells are destroyed by the ablation.","Radiofrequency ablation, ablation zone visualization, distance field, volume rendering, GPU, interaction.",1812,1812-1821,Christian,Rieder,Fraunhofer MEVIS,Tim,Kröger,"Fraunhofer MEVIS \ CeVis, University of Bremen",Christian,Schumann,Fraunhofer MEVIS,Horst K.,Hahn,Fraunhofer MEVIS \ Jacobs University Bremen,,,,,,,,,,,,,,,
311,Feature-Based Statistical Analysis of Combustion Simulation Data,"We present a new framework for feature-based statistical analysis of large-scale scientific data and demonstrate its effectiveness by analyzing features from Direct Numerical Simulations (DNS) of turbulent combustion. Turbulent flows are ubiquitous and account for transport and mixing processes in combustion, astrophysics, fusion, and climate modeling among other disciplines. They are also characterized by coherent structure or organized motion, i.e. nonlocal entities whose geometrical features can directly impact molecular mixing and reactive processes. While traditional multi-point statistics provide correlative information, they lack nonlocal structural information, and hence, fail to provide mechanistic causality information between organized fluid motion and mixing and reactive processes. Hence, it is of great interest to capture and track flow features and their statistics together with their correlation with relevant scalar quantities, e.g. temperature or species concentrations. In our approach we encode the set of all possible flow features by pre-computing merge trees augmented with attributes, such as statistical moments of various scalar fields, e.g. temperature, as well as length-scales computed via spectral analysis. The computation is performed in an efficient streaming manner in a pre-processing step and results in a collection of meta-data that is orders of magnitude smaller than the original simulation data. This meta-data is sufficient to support a fully flexible and interactive analysis of the features, allowing for arbitrary thresholds, providing per-feature statistics, and creating various global diagnostics such as Cumulative Density Functions (CDFs), histograms, or time-series. We combine the analysis with a rendering of the features in a linked-view browser that enables scientists to interactively explore, visualize, and analyze the equivalent of one terabyte of simulation data. We highlight the utility of this new framework for combustion science; however, it is applicable to many other science domains.","Topology, Statistics, Data analysis, Data exploration, Visualization in Physical Sciences and Engineering, Multi-variate Data.",1822,1822-1831,Janine C.,Bennett,Sandia National Laboratories,Vaidyanathan,Krishnamoorthy,"SCI Institute, University of Utah",Shusen,Liu,"SCI Institute, University of Utah",Ray W.,Grout,National Renewable Energy Laboratory,Evatt R.,Hawkes,The University of New South Wales,Jacqueline H.,Chen,Sandia National Laboratories,Jason,Shepherd,Sandia National Laboratories,Valerio,Pascucci,"SCI Institute, University of Utah",Peer-Timo,Bremer,"Lawrence Livermore National Laboratory \ SCI Institute, University of Utah"
