Paper ID	Conference	Year	Title	DOI	Link	First Page	Last Page	IEEE Xplore Article Number	INSPEC Controlled	INSPEC Non-Controlled	IEEE Terms	Author Keywords	Abstract	Author Names	Author Affiliations	Author IDs
	InfoVis+SciVis	Dec. 2011	Saliency-Assisted Navigation of Very Large Landscape Images	10.1109/TVCG.2011.231	http://dx.doi.org/10.1109/TVCG.2011.231	1737	1746	6064936	data acquisition;data visualisation;geophysical image processing;image resolution;image sensors;statistical analysis	Internet;camera sensors;image resolution;interactive visualization;landscape images;robotic image acquisition;saliency assisted navigation;statistical signatures	Data visualization;Image color analysis;Image resolution;Navigation	Anomaly Detection;Guided Interaction.;Image Saliency;Interactive Visualization;Scene Perception;Very Large Scale Images	The field of visualization has addressed navigation of very large datasets, usually meshes and volumes. Significantly less attention has been devoted to the issues surrounding navigation of very large images. In the last few years the explosive growth in the resolution of camera sensors and robotic image acquisition techniques has widened the gap between the display and image resolutions to three orders of magnitude or more. This paper presents the first steps towards navigation of very large images, particularly landscape images, from an interactive visualization perspective. The grand challenge in navigation of very large images is identifying regions of potential interest. In this paper we outline a three-step approach. In the first step we use multi-scale saliency to narrow down the potential areas of interest. In the second step we outline a method based on statistical signatures to further cull out regions of high conformity. In the final step we allow a user to interactively identify the exceptional regions of high interest that merit further attention. We show that our approach of progressive elicitation is fast and allows rapid identification of regions of interest. Unlike previous work in this area, our approach is scalable and computationally reasonable on very large images. We validate the results of our approach by comparing them to user-tagged regions of interest on several very large landscape images from the Internet.	Cheuk Yiu Ip;Varshney, A.	Dept. of Comput. Sci., Univ. of Maryland, College Park, MD, USA|c|;	37586231900;37282560200
	InfoVis+SciVis	Dec. 2011	Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization	10.1109/TVCG.2011.208	http://dx.doi.org/10.1109/TVCG.2011.208	1747	1756	6064937	data visualisation;image reconstruction;object detection;video signal processing	3D reconstruction;3D visualization template;application specific semantics;event classification;event illustration;hierarchical event representation;hierarchical event selection;illustrative visualization;importance based selection algorithm;snooker video visualization;video storyboards	Context;Data visualization;Multimedia communication;Semantics;Three dimensional displays;Time series analysis	Illustrative visualization.;Multimedia visualization;Time series data	Video storyboard, which is a form of video visualization, summarizes the major events in a video using illustrative visualization. There are three main technical challenges in creating a video storyboard, (a) event classification, (b) event selection and (c) event illustration. Among these challenges, (a) is highly application-dependent and requires a significant amount of application specific semantics to be encoded in a system or manually specified by users. This paper focuses on challenges (b) and (c). In particular, we present a framework for hierarchical event representation, and an importance-based selection algorithm for supporting the creation of a video storyboard from a video. We consider the storyboard to be an event summarization for the whole video, whilst each individual illustration on the board is also an event summarization but for a smaller time window. We utilized a 3D visualization template for depicting and annotating events in illustrations. To demonstrate the concepts and algorithms developed, we use Snooker video visualization as a case study, because it has a concrete and agreeable set of semantic definitions for events and can make use of existing techniques of event detection and 3D reconstruction in a reliable manner. Nevertheless, most of our concepts and algorithms developed for challenges (b) and (c) can be applied to other application areas.	Parry, M.L.;Legg, P.A.;Chung, D.H.S.;Griffiths, I.W.;Chen, M.	Dept. of Comput. Sci., Swansea Univ., Swansea, UK|c|;;;;	38030607100;38026705600;38022083900;38017014600;37677874500
	InfoVis+SciVis	Dec. 2011	Artificial Defocus for Displaying Markers in Microscopy Z-Stacks	10.1109/TVCG.2011.168	http://dx.doi.org/10.1109/TVCG.2011.168	1757	1764	6064938	computer graphic equipment;computerised instrumentation;coprocessors;data visualisation;image colour analysis;image reconstruction;microscopy	3D point visualization;3D structure;GPU;artificial defocus;color based cues;marker display;microscopy z-stacks;mouse wheel;shape from focus reconstruction	Data visualization;Image color analysis;Image segmentation;Microscopy;Optical microscopy;Three dimensional displays	Depth of field;Focus stacks.;Microscopy	As microscopes have a very shallow depth of field, Z-stacks (i.e. sets of images shot at different focal planes) are often acquired to fully capture a thick sample. Such stacks are viewed by users by navigating them through the mouse wheel. We propose a new technique of visualizing 3D point, line or area markers in such focus stacks, by displaying them with a depth-dependent defocus, simulating the microscope's optics; this leverages on the microscopists' ability to continuously twiddle focus, while implicitly performing a shape-from-focus reconstruction of the 3D structure of the sample. User studies confirm that the approach is effective, and can complement more traditional techniques such as color-based cues. We provide two implementations, one of which computes defocus in real time on the GPU, and examples of their application.	Giusti, A.;Taddei, P.;Corani, G.;Gambardella, L.;Magli, C.;Gianaroli, L.	Dalle Molle Inst. for Artificial Intell., Lugano, Switzerland|c|;;;;;	37839568400;37591225000;37972936000;37270036000;37988921000;37972814500
	InfoVis+SciVis	Dec. 2011	Visualization of Topological Structures in Area-Preserving Maps	10.1109/TVCG.2011.254	http://dx.doi.org/10.1109/TVCG.2011.254	1765	1774	6064939	Poincare mapping;computational complexity;data visualisation;ergonomics;feature extraction;fractals;fusion reactors;inspection;plasma toroidal confinement;topology	area-preserving map;automatic extraction;engineering problem;ergodic behavior;fractal complexity;fusion reactor;invariant manifold;island chain;numerical data;scientific problem;topological picture;topological structure visualization;visual inspection;visual representation	Chaos theory;Data visualization;Fusion reactors;Manifolds;Topology	Poincaré map;area-preserving maps;chaos;dynamical systems;invariant manifolds.;topology	Area-preserving maps are found across a wide range of scientific and engineering problems. Their study is made challenging by the significant computational effort typically required for their inspection but more fundamentally by the fractal complexity of salient structures. The visual inspection of these maps reveals a remarkable topological picture consisting of fixed (or periodic) points embedded in so-called island chains, invariant manifolds, and regions of ergodic behavior. This paper is concerned with the effective visualization and precise topological analysis of area-preserving maps with two degrees of freedom from numerical or analytical data. Specifically, a method is presented for the automatic extraction and characterization of fixed points and the computation of their invariant manifolds, also known as separatrices, to yield a complete picture of the structures present within the scale and complexity bounds selected by the user. This general approach offers a significant improvement over the visual representations that are so far available for area-preserving maps. The technique is demonstrated on a numerical simulation of magnetic confinement in a fusion reactor.	Tricoche, X.;Garth, C.;Sanderson, A.	Purdue Univ., West Lafayette, IN, USA|c|;;	37282575100;37282573700;37283733200
	InfoVis+SciVis	Dec. 2011	Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning	10.1109/TVCG.2011.224	http://dx.doi.org/10.1109/TVCG.2011.224	1775	1784	6064940	data visualisation;interactive systems;medical image processing;orthopaedics;rendering (computer graphics);surgery;touch sensitive screens	3D rendering;3D visualization;healthcare;medical imaging;medical visualization table;multitouch table system;orthopedic surgery planning;treatment planning	Biomedical image processing;Orthopedic surgery;Surgery;Three dimensional displays	Medical visualization;multitouch;tabletop display;treatment planning.	Medical imaging plays a central role in a vast range of healthcare practices. The usefulness of 3D visualizations has been demonstrated for many types of treatment planning. Nevertheless, full access to 3D renderings outside of the radiology department is still scarce even for many image-centric specialties. Our work stems from the hypothesis that this under-utilization is partly due to existing visualization systems not taking the prerequisites of this application domain fully into account. We have developed a medical visualization table intended to better fit the clinical reality. The overall design goals were two-fold: similarity to a real physical situation and a very low learning threshold. This paper describes the development of the visualization table with focus on key design decisions. The developed features include two novel interaction components for touch tables. A user study including five orthopedic surgeons demonstrates that the system is appropriate and useful for this application domain.	Lundstrom, C.;Rydell, T.;Forsell, C.;Persson, A.;Ynnerman, A.	Center for Med. Image Sci. & Visualization, Linkoping Univ., Linkoping, Sweden|c|;;;;	37284209100;38017009700;37546939800;37604521200;37284192000
	InfoVis+SciVis	Dec. 2011	Load-Balanced Parallel Streamline Generation on Large Scale Vector Fields	10.1109/TVCG.2011.219	http://dx.doi.org/10.1109/TVCG.2011.219	1785	1794	6064941	data visualisation;graph theory;parallel processing;resource allocation	flow complexity;graph based representation;large scale vector fields;load balanced parallel streamline generation;load imbalance;workload aware partitioning algorithm;workload estimation algorithm	Cost function;Mathematical model;Partitioning algorithms	3D vector field visualization;Flow visualization;Parallel processing;Streamlines.	Because of the ever increasing size of output data from scientific simulations, supercomputers are increasingly relied upon to generate visualizations. One use of supercomputers is to generate field lines from large scale flow fields. When generating field lines in parallel, the vector field is generally decomposed into blocks, which are then assigned to processors. Since various regions of the vector field can have different flow complexity, processors will require varying amounts of computation time to trace their particles, causing load imbalance, and thus limiting the performance speedup. To achieve load-balanced streamline generation, we propose a workload-aware partitioning algorithm to decompose the vector field into partitions with near equal workloads. Since actual workloads are unknown beforehand, we propose a workload estimation algorithm to predict the workload in the local vector field. A graph-based representation of the vector field is employed to generate these estimates. Once the workloads have been estimated, our partitioning algorithm is hierarchically applied to distribute the workload to all partitions. We examine the performance of our workload estimation and workload-aware partitioning algorithm in several timings studies, which demonstrates that by employing these methods, better scalability can be achieved with little overhead.	Nouanesengsy, B.;Teng-Yok Lee;Han-Wei Shen	Ohio State Univ., Columbus, OH, USA|c|;;	37570501300;37403060100;37279493500
	InfoVis+SciVis	Dec. 2011	Extinction-Based Shading and Illumination in GPU Volume Ray-Casting	10.1109/TVCG.2011.198	http://dx.doi.org/10.1109/TVCG.2011.198	1795	1802	6064942	computer graphic equipment;coprocessors;light scattering;lighting;ray tracing;rendering (computer graphics)	a-blending;GPU volume ray casting;Riemann sum;ambient occlusion;color bleeding effects;direct volume rendering;directional soft shadows;dynamic lights;extinction-based shading;interactive frame rates;interactive transfer function;sophisticated illumination models;volume rendering integral;volumetric dataset visualisation	Graphics processing unit;Image color analysis;Light sources;Rendering (computer graphics);Scattering	Ambient Occlusion;Exponential Extinction.;GPU Ray-Casting;Shadows;Volume Rendering	Direct volume rendering has become a popular method for visualizing volumetric datasets. Even though computers are continually getting faster, it remains a challenge to incorporate sophisticated illumination models into direct volume rendering while maintaining interactive frame rates. In this paper, we present a novel approach for advanced illumination in direct volume rendering based on GPU ray-casting. Our approach features directional soft shadows taking scattering into account, ambient occlusion and color bleeding effects while achieving very competitive frame rates. In particular, multiple dynamic lights and interactive transfer function changes are fully supported. Commonly, direct volume rendering is based on a very simplified discrete version of the original volume rendering integral, including the development of the original exponential extinction into a-blending. In contrast to a-blending forming a product when sampling along a ray, the original exponential extinction coefficient is an integral and its discretization a Riemann sum. The fact that it is a sum can cleverly be exploited to implement volume lighting effects, i.e. soft directional shadows, ambient occlusion and color bleeding. We will show how this can be achieved and how it can be implemented on the GPU.	Schlegel, P.;Makhinya, M.;Pajarola, Renato	Dept. of Inf., Univ. of Zurich, Zurich, Switzerland|c|;;	38026738000;37695663200;37282193800
	InfoVis+SciVis	Dec. 2011	GPU-Based Interactive Cut-Surface Extraction From High-Order Finite Element Fields	10.1109/TVCG.2011.206	http://dx.doi.org/10.1109/TVCG.2011.206	1803	1811	6064943	data visualisation;finite element analysis;image processing;ray tracing;rendering (computer graphics);solid modelling	3D simulation;GPU-based interactive cut-surface extraction;GPU-based ray-tracing system;OpenGL rendering;high-order finite element field;high-order finite element method;image accuracy;image quality;imagery;interactive visualization;scientific visualization;texture mapping;visualization system;visualization tool	Data visualization;Finite element methods;Graphics processing unit;Image color analysis;Linear approximation;Tensile stress	GPU ray-tracing;GPU-based root-finding;High-order finite elements;cut-plane extraction;cutsurface extraction.;spectral/hp elements	We present a GPU-based ray-tracing system for the accurate and interactive visualization of cut-surfaces through 3D simulations of physical processes created from spectral/hp high-order finite element methods. When used by the numerical analyst to debug the solver, the ability for the imagery to precisely reflect the data is critical. In practice, the investigator interactively selects from a palette of visualization tools to construct a scene that can answer a query of the data. This is effective as long as the implicit contract of image quality between the individual and the visualization system is upheld. OpenGL rendering of scientific visualizations has worked remarkably well for exploratory visualization for most solver results. This is due to the consistency between the use of first-order representations in the simulation and the linear assumptions inherent in OpenGL (planar fragments and color-space interpolation). Unfortunately, the contract is broken when the solver discretization is of higher-order. There have been attempts to mitigate this through the use of spatial adaptation and/or texture mapping. These methods do a better job of approximating what the imagery should be but are not exact and tend to be view-dependent. This paper introduces new rendering mechanisms that specifically deal with the kinds of native data generated by high-order finite element solvers. The exploratory visualization tools are reassessed and cast in this system with the focus on image accuracy. This is accomplished in a GPU setting to ensure interactivity.	Nelson, B.;Haimes, R.;Kirby, R.M.	Sci. Comput. & Imaging Inst., Univ. of Utah, Salt Lake City, UT, USA|c|;;	37557887400;37282898700;37275716100
	InfoVis+SciVis	Dec. 2011	GPU-based Real-Time Approximation of the Ablation Zone for Radiofrequency Ablation	10.1109/TVCG.2011.207	http://dx.doi.org/10.1109/TVCG.2011.207	1812	1821	6064944	approximation theory;biomedical electrodes;blood vessels;cancer;cellular biophysics;computer graphic equipment;coprocessors;data visualisation;haemodynamics;interactive systems;liver;medical image processing;numerical analysis;patient treatment;physiological models;rendering (computer graphics);tumours	GPU based real time approximation;RFA therapy;applicator placement planning;blood vessels;cancer cells;cooling blood flow;graphic card;heat sink effect;invasive clinical procedure;liver parenchyma;liver tumor treatment;liver vessels;malignant tissue;modular shader framework;numerical simulation;percutaneous radiofrequency ablation zone;projected slice views;real time visualization;rendering;software assistant prototype;thermal equilibrium representation;weighted distance field	Ablation;Blood flow;Electrodes;Graphics processing unit;Heat sinks;Mathematical model;Radio frequency;Rendering (computer graphics)	GPU;Radiofrequency ablation;ablation zone visualization;distance field;interaction.;volume rendering	Percutaneous radiofrequency ablation (RFA) is becoming a standard minimally invasive clinical procedure for the treatment of liver tumors. However, planning the applicator placement such that the malignant tissue is completely destroyed, is a demanding task that requires considerable experience. In this work, we present a fast GPU-based real-time approximation of the ablation zone incorporating the cooling effect of liver vessels. Weighted distance fields of varying RF applicator types are derived from complex numerical simulations to allow a fast estimation of the ablation zone. Furthermore, the heat-sink effect of the cooling blood flow close to the applicator's electrode is estimated by means of a preprocessed thermal equilibrium representation of the liver parenchyma and blood vessels. Utilizing the graphics card, the weighted distance field incorporating the cooling blood flow is calculated using a modular shader framework, which facilitates the real-time visualization of the ablation zone in projected slice views and in volume rendering. The proposed methods are integrated in our software assistant prototype for planning RFA therapy. The software allows the physician to interactively place virtual RF applicator models. The real-time visualization of the corresponding approximated ablation zone facilitates interactive evaluation of the tumor coverage in order to optimize the applicator's placement such that all cancer cells are destroyed by the ablation.	Rieder, C.;Schumann, C.;Hahn, H.K.	;;	38017035400;38028801700;38020362400
	InfoVis+SciVis	Dec. 2011	Feature-Based Statistical Analysis of Combustion Simulation Data	10.1109/TVCG.2011.199	http://dx.doi.org/10.1109/TVCG.2011.199	1822	1831	6064945	chemically reactive flow;combustion;flow simulation;interactive systems;meta data;mixing;numerical analysis;rendering (computer graphics);statistical analysis;turbulence	astrophysics;climate modeling;combustion science;combustion simulation data;cumulative density function;data streaming;direct numerical simulation;feature based statistical analysis;geometrical features;histograms;interactive analysis;large scale scientific data;linked view browser;merge trees;meta data collection;molecular mixing process;molecular reactive process;nonlocal entities;spectral analysis;time series;transport process;turbulent combustion;turbulent flow	Data mining;Data models;Feature extraction;Information analysis;Statistical analysis	Data analysis;Data exploration;Multi-variate Data.;Statistics;Topology;Visualization in Physical Sciences and Engineering	We present a new framework for feature-based statistical analysis of large-scale scientific data and demonstrate its effectiveness by analyzing features from Direct Numerical Simulations (DNS) of turbulent combustion. Turbulent flows are ubiquitous and account for transport and mixing processes in combustion, astrophysics, fusion, and climate modeling among other disciplines. They are also characterized by coherent structure or organized motion, i.e. nonlocal entities whose geometrical features can directly impact molecular mixing and reactive processes. While traditional multi-point statistics provide correlative information, they lack nonlocal structural information, and hence, fail to provide mechanistic causality information between organized fluid motion and mixing and reactive processes. Hence, it is of great interest to capture and track flow features and their statistics together with their correlation with relevant scalar quantities, e.g. temperature or species concentrations. In our approach we encode the set of all possible flow features by pre-computing merge trees augmented with attributes, such as statistical moments of various scalar fields, e.g. temperature, as well as length-scales computed via spectral analysis. The computation is performed in an efficient streaming manner in a pre-processing step and results in a collection of meta-data that is orders of magnitude smaller than the original simulation data. This meta-data is sufficient to support a fully flexible and interactive analysis of the features, allowing for arbitrary thresholds, providing per-feature statistics, and creating various global diagnostics such as Cumulative Density Functions (CDFs), histograms, or time-series. We combine the analysis with a rendering of the features in a linked-view browser that enables scientists to interactively explore, visualize, and analyze the equivalent of one terabyte of simulation data. We highlight the utility of this new framework for combustion s- ience; however, it is applicable to many other science domains.	Bennett, J.C.;Krishnamoorthy, V.;Shusen Liu;Grout, R.W.;Hawkes, E.R.;Chen, J.H.;Shepherd, J.;Pascucci, V.;Bremer, P.-T.	Sandia Nat. Labs., Albuquerque, NM, USA|c|;;;;;;;;	37551867600;38028168700;38025553600;37394659000;37299142500;37293022400;38020418600;37284312600;37564112000
