Paper ID	Conference	Year	Title	DOI	Link	First Page	Last Page	IEEE Xplore Article Number	INSPEC Controlled	INSPEC Non-Controlled	IEEE Terms	Author Keywords	Abstract	Author Names	Author Affiliations	Author IDs
	InfoVis	1999	Does animation help users build mental maps of spatial information?	10.1109/INFVIS.1999.801854	http://dx.doi.org/10.1109/INFVIS.1999.801854	28	35	801854	computer animation;human factors;psychology;user interfaces;visual databases	computer animation;data visualisation;mental maps;spatial information system;task performance time;viewpoint change	Animation;Computer science;Computer science education;Delay;Educational institutions;Electrical capacitance tomography;Humans;Navigation;User interfaces;Visualization		We examine how animating a viewpoint change in a spatial information system affects a user's ability to build a mental map of the information in the space. We found that animation improves users' ability to reconstruct the information space, with no penalty on task performance time. We believe that this study provides strong evidence for adding animated transitions in many applications with fixed spatial data where the user navigates around the data space	Bederson, B.B.;Boltman, A.	Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA|c|;	37279760100;37444492400
	InfoVis	1999	Constellation: a visualization tool for linguistic queries from MindNet	10.1109/INFVIS.1999.801869	http://dx.doi.org/10.1109/INFVIS.1999.801869	132	135, 154	801869	data visualisation;query processing;semantic networks	Constellation;MindNet;edge crossings;highlighted constellations;linguistic queries;natural language semantic network;special-purpose graph layout algorithm;visualization tool	Algorithm design and analysis;Computer graphics;Constellation diagram;Dictionaries;Encyclopedias;Extraterrestrial measurements;Intelligent agent;Natural languages;Navigation;Visualization		Constellation is a visualization system for the results of queries from the MindNet natural language semantic network. Constellation is targeted at helping MindNet's creators and users refine their algorithms, as opposed to understanding the structure of language. We designed a special-purpose graph layout algorithm which exploits higher-level structure in addition to the basic node and edge connectivity. Our layout prioritizes the creation of a semantic space to encode plausibility instead of traditional graph drawing metrics like minimizing edge crossings. We make careful use of several perceptual channels both to minimize the visual impact of edge crossings and to emphasize highlighted constellations of nodes and edges	Munzner, T.;Guimbretiere, F.;Robertson, G.	Stanford Univ., CA, USA|c|;;	37349490300;37442823600;37448060300
	InfoVis	1999	Dynamic hierarchy specification and visualization	10.1109/INFVIS.1999.801859	http://dx.doi.org/10.1109/INFVIS.1999.801859	65	72	801859	data analysis;data visualisation;user interfaces	UNHIDES;data set;dynamic blending;dynamic hierarchy specification;dynamic hierarchy visualization;dynamic partition adjustment;hierarchy visualization;implicit information;information exploration system;layout algorithms;layout blending;semantic information;subset extraction;tree construction;user-defined hierarchy approach	Data mining;Data visualization;Educational institutions;Law;Legal factors;Organizing;Partitioning algorithms;Remuneration;Turning		This paper describes concepts that underlie the design and implementation of an information exploration system that allows users to impose arbitrary hierarchical organizations on their data. Such hierarchies allow a user to embed important semantic information into the hierarchy definition. Our goal is to recognize the significance of this implicit information and to utilize it in the hierarchy visualization. The innovative features of our system include the dynamic modification of the hierarchy definitions and the definition and implementation of a set of layout algorithms that utilize semantic information implicit in the tree construction	Wilson, R.M.;Bergeron, R.D.	Dept. of Comput. Sci., New Hampshire Univ., Durham, NH, USA|c|;	37435209300;37342054500
	InfoVis	1999	The automated multidimensional detective	10.1109/INFVIS.1999.801865	http://dx.doi.org/10.1109/INFVIS.1999.801865	112	119, 151	801865	computational complexity;data visualisation	computational complexity;geometrically motivated classifier;multivariate datasets;parallel coordinates	Algorithm design and analysis;Automation;Computational complexity;Data mining;Design optimization;Displays;Multidimensional systems;Neural networks;Principal component analysis;Testing		Automation has arrived to parallel coordinates. A geometrically motivated classifier is presented and applied, with both training and testing stages, to 3 real datasets. Our results compared to those from 33 other classifiers have the least error. The algorithm is based on parallel coordinates and has very low computational complexity in the number of variables and the size of the dataset-contrasted with the very high or unknown (often unstated) complexity of other classifiers, the low complexity enables the rule derivation to be done in near real-time hence making the classification adaptive to changing conditions, provides comprehensible and explicit rules-contrasted to neural networks which are “black boxes”, does dimensionality selection-where the minimal set of original variables (not transformed new variables as in Principal Component Analysis) required to state the rule is found, orders these variables so as to optimize the clarity of separation between the designated set and its complement-this solves the pesky “ordering problem” in parallel coordinates. The algorithm is display independent, hence it can be applied to very large in size and number of variables datasets. Though it is instructive to present the results visually, the input size is no longer display-limited as for visual data mining	Inselberg, A.;Avidan, T.	Dept. of Comput. Sci., Tel Aviv Univ., Israel|c|;	37294162600;37444484200
	InfoVis	1999	A framework for focus+context visualization	10.1109/INFVIS.1999.801857	http://dx.doi.org/10.1109/INFVIS.1999.801857	53	56, 145	801857	data visualisation;user interfaces	focus+context visualization;information visualization;integrated visual access	Bars;CD-ROMs;Computer displays;Data visualization;Focusing;Nonlinear distortion;Rubber		This paper aims to give a systematic account of focus+context visualization techniques, i.e. visualizations which aim to give users integrated visual access to details and context in a data set. We introduce the notion that there are different orders of information visualization with focus+context being a second-order visualization and provide a formal framework for describing and constructing focus+context visualizations	Bjork, S.;Holmquist, L.E.;Redstrom, J.	Viktoria Inst., Sweden|c|;;	37444610400;37296141000;37444612100
	InfoVis	1999	Evaluating a visualisation of image similarity as a tool for image browsing	10.1109/INFVIS.1999.801855	http://dx.doi.org/10.1109/INFVIS.1999.801855	36	43, 143	801855	content-based retrieval;database indexing;user interfaces;visual databases	automatic indexing;digital images;high-level semantic content;image browsing;image retrieval;image similarity;information visualisation;low-level content;photograph;randomly arranged grid;similarity metric	Content based retrieval;Digital images;Electrical capacitance tomography;Image retrieval;Image storage;Information retrieval;Laboratories;Prototypes;Visualization		A similarity metric based on the low-level content of images can be used to create a visualisation in which visually similar images are displayed close to each other. We are carrying out a series of experiments to evaluate the usefulness of this type of visualisation as an image browsing aid. The initial experiment, described, considered whether people would find a given photograph more quickly in a visualisation than in a randomly arranged grid of images. The results show that the subjects were faster with the visualisation, although in post-experiment interviews many of them said that they preferred the clarity and regularity of the grid. We describe an algorithm with which the best aspects of the two layout types can be combined	Rodden, K.;Basalaj, W.;Sinclair, D.;Wood, K.	Comput. Lab., Cambridge Univ., UK|c|;;;	37442752800;37442753400;37356022100;37447647700
	InfoVis	1999	The sunflower visual metaphor, a new paradigm for dimensional compression	10.1109/INFVIS.1999.801868	http://dx.doi.org/10.1109/INFVIS.1999.801868	128	131	801868	data mining;data visualisation;query processing	Sunflower visual metaphor;browsing;information retrieval;information visualization;knowledge discovery;knowledge management;text visualization;visual metaphor;visualization;visualization tool	Conducting materials;Displays;Extraterrestrial measurements;Information processing;Information retrieval;Knowledge management;Management information systems;Rivers;Tellurium;Visualization		This paper introduces the Sunflower visual metaphor for information visualization. The visual metaphor is presented as an alternative to current techniques of dimensional compression and the visualization tools that employ them. The paper discusses the motivation for the Sunflower paradigm, its implementation and critical factors for producing an effective visualization. A primary driver in this research effort has been to develop a visualization tool that facilitates browsing, knowledge discovery, and that supports learning through sense making and integration of new information	Rose, S.J.	Dept. of Manage. Inf. Syst., Arizona Univ., Tucson, AZ, USA|c|	37434158300
	InfoVis	1999	A Java-based visual mining infrastructure and applications	10.1109/INFVIS.1999.801867	http://dx.doi.org/10.1109/INFVIS.1999.801867	124	127, 153	801867	Java;data mining;data visualisation	Java-based;KDD;Knowledge Discovery & Data Mining;VisMine;content-driven;data mining;document navigation;telecom switch mining;topic hierarchy;visual mining;web-based trouble shooting	Data mining;Data visualization;Displays;Graphics;Internet;Java;Navigation;Plugs;Switches;Telecommunication switching		Many real-world KDD (Knowledge Discovery & Data Mining) applications involve the navigation of large volumes of information on the web, such as, Internet resources, hot topics, and telecom phone switches. Quite often users feel lost, confused and overwhelmed with displays that contain too much information. This paper discusses a new content-driven visual mining infrastructure called VisMine, that uses several innovative techniques: (1) hidden visual structure and relationships for uncluttering displays; (2) simultaneous visual presentations for high-dimensional knowledge discovery; and (3) a new visual interface to plug in existing graphic toolkits for expanding its use in a wide variety of visual applications. We have applied this infrastructure to three data mining visualization applications-topic hierarchy for document navigation, web-based trouble shooting, and telecom switch mining	Hao, M.C.;Dayal, U.;Hsu, M.;Baker, J.;D'Eletto, R.	Hewlett Packard Res. Labs., USA|c|;;;;	37274264300;37275646700;37275459900;37431347900;37442793100
	InfoVis	1999	Sensemaking of evolving Web sites using visualization spreadsheets	10.1109/INFVIS.1999.801853	http://dx.doi.org/10.1109/INFVIS.1999.801853	18	25, 142	801853	Internet;data visualisation;information resources;spreadsheet programs	Cone Tree;Disk Tree;Web sites;World Wide Web;cognitive model;data visualizations;information processing;knowledge discovery;visual sensemaking;visualization spreadsheets	Concrete;Costs;Data mining;Data visualization;Environmental factors;Graphics;Information analysis;Information processing;Tree graphs;Web sites		In the process of knowledge discovery, workers examine available information in order to make sense of it. By sensemaking, we mean interacting with and operating on the information with a variety of information processing mechanisms. Previously, we introduced a concept that uses the spreadsheet metaphor with cells containing visualizations of complex data. We extend and apply a cognitive model called “visual sensemaking” to the visualization spreadsheet. We use the task of making sense of a large Web site as a concrete example throughout the paper for demonstration. Using a variety of visualization techniques, such as the Disk Tree and Cone Tree, we show that the interactions of the visualization spreadsheet help users draw conclusions from the overall relationships of the entire information set	Chi, Ed H.;Card, S.K.	Xerox Palo Alto Res. Center, CA, USA|c|;	37448030800;37444594200
	InfoVis	1999	Cluster and calendar based visualization of time series data	10.1109/INFVIS.1999.801851	http://dx.doi.org/10.1109/INFVIS.1999.801851	4	9, 140	801851	data visualisation;graphs;pattern recognition;time series	calendar based visualization;cluster based visualization;employees;energy consumption;graphs;pattern clustering;univariate time series data	Calendars;Data analysis;Data mining;Data visualization;Energy consumption;Fourier transforms;Mathematics;Pattern analysis;Time measurement;Time series analysis		A new method is presented to get an insight into univariate time series data. The problem addressed is how to identify patterns and trends on multiple time scales (days, weeks, seasons) simultaneously. The solution presented is to cluster similar daily data patterns, and to visualize the average patterns as graphs and the corresponding days on a calendar. This presentation provides a quick insight into both standard and exceptional patterns. Furthermore, it is well suited to interactive exploration. Two applications, numbers of employees present and energy consumption, are presented	van Wijk, J.J.;Van Selow, E.R.	Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Netherlands|c|;	37267249200;37444386900
