Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
training|0.0352718597541,assemble|0.0285831343488,lighting|0.0203678323648,3-d|0.0225740345936,visual|0.00803141429865,colon|0.0418675484549,em|0.0319901830219,microscopy|0.0356183489047,ambient|0.0241400342983,cloud|0.0413153024804,conference|0.0205187699199,(computer|0.0138054768109,flattening|0.0127187052705,scattering|0.0752365390716,vascular|0.0539229460425,fiber|0.0362273502772,reformation|0.0286126770551,representative|0.0266803643234,function|0.0108217797456,toolkit|0.00831210891196
ieee|0.0267801770406,arc|0.0215080738656,illumination|0.0153808645466,algebra|0.018851900148,design|0.00787519042995,camera|0.0286028953122,latest|0.0117608019906,trajectory|0.0341181023025,biomedical|0.0206023309045,heat|0.0154993975765,published|0.0128711289886,graphics)|0.0138054768109,ability|0.00894382728012,illumination|0.024172969639,blood|0.0368833184787,morse|0.0129789188223,wall|0.018708298851,tessellation|0.0245516342728,transfer|0.00909661695403,prior|0.00830850123422
systematic|0.0207705757162,inverse|0.0194585579465,movement|0.01240166749,reasoning|0.018217053041,evaluation|0.00744062563202,centerline|0.0248931618325,suggesting|0.011136737393,neuroscience|0.028136728406,km|0.0136125334745,naive|0.0150156063152,ten|0.0123113865799,path|0.00900352069773,typical|0.0080863621113,despite|0.0137934179579,vessel|0.0326314936356,ability|0.012190165386,lense|0.0172427356428,capturing|0.0128298093453,pore|0.00896878115599,colored|0.00774615789776
evaluating|0.0173856982924,realizing|0.0121107516283,practice|0.0118557729096,smaller|0.011738038636,simulation|0.00740846874005,oscillation|0.0173879582749,adaptation|0.0103993377653,pc|0.0233131167017,increased|0.0126365827604,sweep|0.0128351443889,high-dimensional_datum|0.0117408601994,pc-mrus|0.00818365522489,network|0.00805514852968,calibration|0.0112752236471,pathology|0.0189378253119,imaging|0.0120625084473,subjective|0.0147601541849,radiology|0.0119634460403,volume|0.00798189794382,regularization|0.00748767056498
objective|0.0100985151792,head|0.0116321495527,community|0.0113801280939,philosophy|0.0116030055884,display|0.0066433042716,colonoscopy|0.0166507648241,phase|0.00965457867037,querying|0.0160587281788,criterion|0.0123520948802,procedural|0.00768827303585,ranking|0.0113000664392,light|0.00693548127143,scheme|0.00755409287222,transport|0.00704032185331,luman|0.0179389418029,expert|0.0112078173457,opacity|0.0111739856153,specialist|0.011074012847,framework|0.00727193402912,generalizing|0.00703661030896
infeasible|0.00974678193355,ocean|0.0109375052697,multi-touch|0.00913261723391,confirmed|0.00990844039193,task|0.00583086103059,free|0.015438885326,enabled|0.00881372563044,contour|0.0110876482147,split|0.0116399916054,scale|0.0074602741916,simply|0.0091069651979,animation|0.00685718670376,denoising|0.00706602099547,symmetry|0.00534546239616,artery|0.0167490771654,query|0.00999013980587,high-frequency|0.0109856174717,classified|0.0102836281803,3d|0.00718824911974,comprehend|0.00694358206684
cover|0.00923795378553,traffic|0.0103619608358,query|0.00900957056553,gesture|0.00981078602494,datum|0.00577614446038,sensing|0.0133885019155,topic|0.00866638804108,polishing|0.0109860298279,substantially|0.00882422692137,flame|0.00739999920062,collaborator|0.00899114037904,parameter|0.00672234662436,assessment|0.00659129020802,invariant|0.00444986620325,connecting|0.0143752012833,manual|0.00986464567852,lighting|0.00903881996594,assessing|0.00943008448002,reality|0.00648764871204,feel|0.00686958445248
blobby|0.00792864225541,validation|0.00975576799237,diffusion|0.00852673316,builder|0.00969736928003,system|0.00575449201671,multi-volume_rendering|0.00957412617132,semi-automatic|0.00860711079317,collect|0.0104671326155,morphing|0.00861978713634,familiar|0.00725300318346,chain|0.00756753077619,review|0.00653691700571,focused|0.0064187717223,allowed|0.00356850988653,quantify|0.0131377527171,design|0.00951468605082,sample|0.0086785275233,taxonomy|0.00693453649763,volume_rendering|0.00614028364773,linked-view|0.00673289863974
standardized|0.00790367734199,unfortunately|0.00937067301585,spatial|0.00749896704357,customized|0.00957270991905,modeling|0.00574133035838,orientation|0.0095591581623,analysis|0.00727765428629,monitoring|0.0103380396234,place|0.00817772211775,heart|0.00646423658345,evolved|0.00729932540943,serve|0.00650429813896,visibility|0.00640148095034,genome|0.00332559150948,aneurysm|0.0120053869358,ambiguou|0.00816533905984,parameterized|0.00867756482457,reinforced|0.00499576650817,rendering|0.00605164494284,lab|0.00657603695927
neighborhood|0.0075406918262,bay|0.00913794410773,disease|0.0071873707689,nontrivial|0.00906421627505,non-spatial|0.00573796649899,optimal|0.00942701007326,optimized|0.00682269411499,electron|0.00969725139395,gb|0.00807124983657,forward|0.00630306949706,intended|0.00699669963426,extensive|0.00619197571303,curved|0.00616131092626,facilitated|0.00227104773878,trend|0.0114172446861,learner|0.00772080080326,inspection|0.00788235801179,touch|0.00387969647878,mapping|0.00603369972648,least|0.00648378910244
