Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
ieee|0.0288806308299,centerline|0.0279448679208,oscillation|0.0156867660283,non-spatial|0.036251278217,subjective|0.0242250394974,ambiguou|0.0159638629389,low-level|0.0130900715267,colon|0.0192070927525,infeasible|0.0109952549977,flattening|0.0284445796557,fiber|0.0373894932734,scattering|0.0121388937243,query|0.0163919955121,flow|0.0249473251876,vascular|0.0410138422266,despite|0.0159996414683,cluster|0.0122976024424,tone|0.0208350899239,last|0.0175036326441,spatial|0.00729377839242
custom|0.0162720950508,trajectory|0.0241689501265,tiled|0.0136718871558,square|0.0141164149379,parameterized|0.0142812962869,assessment|0.0135207523307,intent|0.0129494282845,conference|0.00950999094087,increasing|0.0105151790231,factor|0.0177135660942,motion|0.0146987176258,lighting|0.0116426616109,systematic|0.0111985066521,training|0.0153424615111,blood|0.0282581163852,extensive|0.0137536021673,wall|0.0120113825278,apus|0.0129495781807,determining|0.012989147959,design|0.00709186010906
arc|0.0157920923567,fea|0.0175850571793,lense|0.0133933369981,sparse|0.0137643481355,word|0.00681209410508,script|0.0102244288949,nerve|0.0122542296636,assemble|0.00881922349443,broad|0.0104894845258,geared|0.0121585596974,path|0.00909231021143,illumination|0.00908900872682,interface|0.00981354080272,ambient|0.01033819126,vessel|0.0241773712846,hypothesis|0.0114328344632,learner|0.0108164229099,pathological|0.0114573143554,therapy|0.0118289681375,cloud|0.00690087113221
intervention|0.00956997261659,collision|0.0129785371232,tessellation|0.0132037069321,1000|0.013442379893,non-linear|0.00331694223613,customized|0.00943695558838,time-resolved|0.0117437970682,noise|0.00853875573043,pose|0.0092536943855,polishing|0.0114966182614,evaluating|0.00871226620432,volume|0.00804907050636,naive|0.00923542228246,transfer|0.0103052024811,microscopy|0.0181717117956,chose|0.0109331318417,high-dimensional|0.00983843709771,routing|0.0104612739805,heart|0.0110232754777,graphics)|0.00650727815209
vast|0.00891607088455,adaptation|0.00850669081031,tangible|0.0124046019363,cfd|0.0128904571682,descriptor|0.00327255034079,capturing|0.00941702080416,sometime|0.0102093805397,practice|0.00781649490298,radiology|0.00920206848502,transient|0.0100646969308,domain-specific|0.00722003752811,pore|0.00754588449291,manual|0.00921161497431,imaging|0.0102782548773,reformation|0.0178690131928,stationary|0.00972649244205,km|0.00859458177935,chart|0.0102809475068,pronounced|0.0102641939212,(computer|0.00650727815209
collect|0.00857880298379,directed|0.00838043251074,opacity|0.0108930523651,iterated|0.00953071872915,predictor|0.00317537792422,radial|0.00897951353812,spatiotemporal|0.00691044057984,colonoscopy|0.00764105158941,blobby|0.00887995433183,crack|0.00964276442236,evaluation|0.00702817218102,biomedical|0.00747121174621,multi-touch|0.00894818260934,medical|0.00789822835218,pc-mrus|0.0147503579329,commercial|0.00963064130585,trend|0.00858541336542,exponential|0.00919411700626,partially|0.0101017097617,display|0.00603677317105
learning|0.00819624194105,dominant|0.00782868380112,visibility|0.010015730622,blend|0.00901949019948,helped|0.00314495462675,refined|0.00810445177433,expert|0.00589318276408,representative|0.00756513548031,concurrent|0.00880966771399,recover|0.00950260284421,awarenes|0.00681213549776,light|0.00730122527021,predicate|0.00790162460259,modeling|0.00749474482129,luman|0.0144870628538,monitoring|0.00944762075213,ability|0.00732284492166,accessed|0.00850155484685,extinction|0.00998764097166,graph|0.005914868161
traffic|0.00810314711098,gesture|0.00764849070969,high-quality|0.00879931976789,reshaping|0.00849324628178,haptic|0.00294395017426,classified|0.00754747432952,multiscale|0.00461233113897,scheme|0.00665590732144,neighborhood|0.00864735898516,planning|0.00820571480452,question|0.00655019673027,approximation|0.0062359851602,vium|0.00762500811491,sensing|0.00654319109705,pathology|0.0140129354561,gb|0.00920336274458,specifically|0.00679378267432,busines|0.0055876564045,practitioner|0.00981437080488,task|0.00590780469565
precisely|0.00774599811937,tree|0.00669305328601,sdk|0.00870376554994,fuzzy|0.00841538244096,expand|0.00231753945706,detected|0.00717838901443,health|0.00449207290185,connecting|0.00657513490196,sensemaking|0.00800358316564,close|0.00723244925102,depth|0.00590096539071,movement|0.00603164850004,evaluation|0.00749246760587,spherical|0.00642949865496,expert|0.0136815173978,comprehend|0.00902658588678,essential|0.00663112309704,programming|0.00476171684585,trajectory|0.00944186336668,framework|0.00580269877097
functionality|0.00763986851763,cue|0.00649523732498,latest|0.00773341670496,restricting|0.00819552976643,nearest|0.00231298994177,automation|0.0069938906659,overlap|0.00447646514744,sweep|0.00615039909408,semi-automatic|0.00790826653525,city|0.00473548554803,analytic|0.0058714048377,morse|0.00597852619909,physically|0.00742756446511,quantify|0.00605138260307,pc|0.011688597666,concentrate|0.00898477327437,navigated|0.00654826192271,neighbor|0.00357742092694,selectively|0.00828986792424,simulation|0.00547017379182
patient-specific|0.00758823823626,input|0.00623655764501,rendering|0.00754491695744,drag|0.00809518526001,binding|0.00186322809003,analysis|0.00673352851768,organize|0.0044462616439,metric|0.00600130298839,enabled|0.00779263809765,calculating|0.00381042764914,temporal|0.00561560524897,tracking|0.00584546658002,design|0.0071861582319,disease|0.0058812557756,artery|0.011327092201,comprising|0.00876536484186,fragmented|0.00634346279157,correlated|0.00289972049658,symmetry|0.00511562517427,camera|0.00538778582319
prevalent|0.00722575211515,treemap|0.00621475966711,realizing|0.00741773928343,roughly|0.00769237089625,neighboring|0.00185965842724,1997|0.00666250521003,surveillance|0.00367187810008,significantly|0.00565344234079,replace|0.00746066995308,professional|0.00364789748899,sheer|0.00540062462344,topological|0.00570677176461,querying|0.00716887413371,preintegration|0.00581804880044,evaluated|0.0107018960335,increasing|0.00803212545784,analysi|0.00633036906668,discourse|0.00278710879539,demonstrating|0.00445039544107,datum|0.00535373492941
soft|0.00715299404006,delineate|0.00610873172676,multi-volume|0.00741287963189,complement|0.00764169257817,maximal|0.00153577030968,cad|0.0061518730406,guideline|0.00357924353753,lower|0.00511718240925,context-aware|0.00700512950549,membership|0.00311982223776,philosophy|0.0053859708589,neuroscience|0.00567356325511,lagrangian|0.00713333963033,scattered|0.00563566068555,cardiovascular|0.0095176646194,euclidean|0.00724098557534,planning|0.00610082976514,molecule|0.00272575387417,developer|0.00375755855796,user|0.00514986611462
evolved|0.00691982607477,force|0.00586590978513,aliasing|0.00733582267826,validation|0.0075185948998,overplotting|0.00149412179438,detect|0.00525170624208,spatialization|0.00300413438256,rendering|0.00455603295552,beneficial|0.00700098858546,urban|0.00284944468239,real-time|0.00526735017688,function|0.00562808281146,attribute|0.00692697603984,denoising|0.00556318894188,uncertainty|0.00931784309388,et|0.00665578281886,contour|0.00559563793951,ever|0.00267808292984,parameterization|0.00323534145828,visualization|0.00486989793853
regarding|0.00672091916174,extensive|0.00581143843771,periodic|0.00684563873645,calibration|0.00732661761955,separate|0.00145422420528,communication|0.00475015735882,conflict|0.00246794606112,performance|0.0042774489798,remove|0.0063300866066,mesh|0.00217380223053,answer|0.00485744938977,analysi|0.00547375077355,visual|0.00668062563821,least|0.00540375396337,aneurysm|0.00910691490592,routine|0.00659985091824,comparative|0.00532543735053,association|0.00242182665477,sharing|0.00288170871386,animation|0.00477599748348
translucency|0.00667233186273,advance|0.00564463666938,scalable|0.0066452836416,color-coded|0.00723735040427,distinction|0.00144087874866,collaboration|0.00379012142245,long-term|0.0023762021291,transport|0.00421417866098,learning|0.00554372609516,trajectory|0.00216272202114,lab|0.00466227963264,topology|0.00546442508036,ranking|0.00636475575829,high-quality|0.00505974610127,thin|0.00855097913515,al|0.0064689669552,connection|0.00508973141066,reuse|0.00240840745886,setup|0.00283913157682,volume|0.00471203968043
motivate|0.00659682757369,item|0.00523119327858,ocean|0.00644669887646,bay|0.00694563652693,proxy|0.00138740094776,molecular|0.00377270089422,card|0.00232505921509,conducted|0.00401250697102,article|0.00495956617879,topological|0.00213657041858,weather|0.00456446792319,segmentation|0.00528964392056,workspace|0.00591011777664,function|0.00500571609813,hemodynamic|0.0085260257706,ranging|0.00602954110719,seamlessly|0.00498665654271,video|0.00234342143763,museum|0.0025534538864,visual|0.00455759012466
