Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
uncertainty|0.0150386084495,ambiguou|0.0157925499935,design|0.0103789282239,graph|0.00981043065039,cloud|0.033873518514,microscopy|0.0209883554018,neuroscience|0.0247250234557,non-spatial|0.0261432951358,centerline|0.0336625049228,tone|0.0171791698007,representative|0.020934050109,script|0.0125288716219,fiber|0.01138973627,filtered|0.0158276454212,scattering|0.0525324652853,illumination|0.0582641464899,colon|0.0124321060825,navigated|0.0132940441213,anisotropy|0.0147915147317,therapy|0.0127304678083
smaller|0.0114184489104,km|0.0143736218529,spatial|0.0101766240358,pore|0.00928897771609,movement|0.0150164783397,em|0.0200926776212,trend|0.01514114959,ieee|0.0204492976042,assemble|0.0259792701276,delivering|0.0110618413316,lense|0.0188362035985,blend|0.0112899637287,vascular|0.0105912029125,fuzzy|0.0139769662064,training|0.0389089393814,history|0.0129758217042,camera|0.0118803788892,iterated|0.0121097140122,increasing|0.0130319225033,neighborhood|0.0118273246016
pathological|0.00918065405136,1000|0.0140233709926,evaluation|0.00940693530097,visual|0.00898871029212,free|0.0123054552609,query|0.0166005678035,chance|0.0116085549943,high-quality|0.013194483158,discretization|0.0092918015882,cover|0.0104809139146,scalable|0.0166063813185,validation|0.00945750707588,flow|0.00838880173783,free-form|0.0127664326464,connecting|0.0175428872358,adjusted|0.0122112731272,light|0.00856444370094,optimally|0.0118964430517,infeasible|0.0127489094166,blobby|0.0105806675877
comprising|0.00866477732836,focused|0.0130184885271,framework|0.00876367992817,analytic|0.00845957312838,tessellation|0.0119881608942,tiled|0.0130609061104,correlation|0.0101582117996,naive|0.0130740802318,precisely|0.00910565832136,radial|0.0096697130231,manual|0.012823149797,learning|0.00874315963976,blood|0.00731211399223,followed|0.0104312691206,review|0.0156498822278,inspection|0.0103130797889,cluster|0.00783821261556,morphing|0.0113553146478,stationary|0.0111553959196,brightnes|0.00931651492278
complement|0.00848378957076,evaluating|0.0107155159801,volume|0.00771971529372,analysi|0.00816623948978,lagrangian|0.00981684190619,optimized|0.00923910033803,contour|0.00986843383674,comparison|0.0121083401952,driven|0.00844295990254,manual|0.00925883869858,dark|0.00982547515593,bay|0.00839533185735,graphics)|0.00679355463032,organize|0.00478486091878,least|0.014823996926,evaluating|0.0102983327215,simulation|0.00687047839599,customized|0.0112720145129,concurrent|0.0103365541126,kind|0.00685565886812
external|0.00758436063574,frequently|0.00965413797727,function|0.0069681733584,noise|0.00803752615647,creating|0.00784204438986,sensing|0.00916500868535,determining|0.00922155831514,reasoning|0.0117354350305,v|0.00803139230529,gb|0.00924116125515,confirmed|0.00965027299831,entry|0.00466960830348,(computer|0.00679355463032,bank|0.00301465646943,benefit|0.0125784553149,realistic|0.00800144312089,query|0.00685937553826,emerging|0.0109474472701,semi-transparent|0.00946116691458,preference|0.00354654508639
replace|0.00745596442776,skeleton|0.00958908801335,simulation|0.00679059646047,morse|0.00746869704966,phase|0.00771221984784,thin|0.00818286458385,adaptation|0.00875247495883,vortex|0.0112473064442,euclidean|0.00772214436485,place|0.00910824074148,shaped|0.00954661779068,classifier|0.00407204905405,modeling|0.00663762195685,museum|0.00300398938271,shadow|0.0117651552783,rich|0.00796932937351,flattening|0.00648567431651,collect|0.0108925106347,mandatory|0.0087645115501,adjacency|0.00345544922457
et|0.00718573619513,capturing|0.00938104150558,rendering|0.00673162201968,topological|0.00662705572103,philosophy|0.00701001548318,topic|0.00804093084032,day|0.00843318661456,sweep|0.0110770928652,subsequent|0.00706216113032,solver|0.00885534086517,low-level|0.00954192912633,invariant|0.00378698470013,vessel|0.00624364246473,reuse|0.00292466510331,measurement|0.00911850347629,evolution|0.00764740622341,global|0.00627498863545,seamlessly|0.0103635578793,correspond|0.00849045401344,workload|0.0034491087379
close|0.00707528841065,analyst|0.00902969256549,transfer|0.00591109540808,study|0.00617603489307,toolkit|0.00681189714796,user's|0.00759190175641,great|0.00838231291411,text|0.00984779639653,comparison|0.0064216816183,heart|0.0088052482833,fly|0.00898699495511,evolution|0.00375131361744,ability|0.00618620302419,systematically|0.00252658889651,aim|0.00849401361805,subspace|0.00481796133716,depth|0.00596954028698,comprehend|0.010327168403,beneficial|0.00813836133251,sharing|0.00310137559405
al|0.00680535116184,consequently|0.00837985966334,community|0.00584418830303,practice|0.00535330193744,latest|0.00679823251517,suggesting|0.00704168731298,time-resolved|0.00836727871046,vast|0.00907669158922,categorical|0.00609746736658,recover|0.00816885395963,tediou|0.00834190832084,prediction|0.00361523615824,task|0.00589165095165,player|0.00237062523962,confirm|0.00836373368849,label|0.00446066176599,trajectory|0.00584821314927,dominant|0.0102027423292,atmospheric|0.00708644451754,namely|0.00270692324854
routine|0.00674092410453,roughly|0.00802483332353,datum|0.0056276608333,tool|0.00525919139098,apus|0.0066579804503,reshaping|0.00701954230951,exhibit|0.0082708201059,high-frequency|0.00759288859313,node-link|0.00578095683955,setting|0.0067335471896,benefit|0.00745652601665,length|0.003538965907,display|0.00511304154616,competing|0.00221357518889,color-coded|0.00785049993543,growing|0.00370850242077,rendering|0.00580111618902,analytical|0.0101796518227,anomaly|0.00696270295821,synchronization|0.00247067527445
40|0.00669599381417,sensemaking|0.00751608638395,analysi|0.00562717559012,expert|0.00510438093513,respect|0.00635872350801,reading|0.00688312886775,insufficient|0.00810823144463,geared|0.0066987845707,illustration|0.00568951092235,city|0.00407081794286,precomputation|0.0074510794651,biologist|0.00339461012537,lighting|0.0049284635577,encourage|0.00203141498931,extinction|0.00766249904359,judgement|0.0034400595718,approximation|0.00548740362373,routing|0.00991112875927,measured|0.00621749732219,hierarchically|0.00242466573507
envelope|0.00623442938516,building|0.00722619389734,application|0.00541965077283,connection|0.00503919355984,collaborator|0.00596077102018,polishing|0.00653940937435,semi-automatic|0.00782786667813,hypothesis|0.00661205064346,supporting|0.00352646259015,market|0.00345790757586,motivate|0.00727216793818,dependency|0.00315240630216,biomedical|0.00490719951044,adequately|0.00200453583876,automation|0.00685211331402,indicator|0.0022856587588,wall|0.00534933588518,split|0.00763004609786,measurement|0.00528422768326,tube|0.00241135524251
