Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
method|0.00601964471412,spherical|0.0206322324222,inspection|0.0104000623189,vascular|0.0221008714462,query|0.0203573682788,lighting_design|0.0228039252108,ability|0.00931314555892,inverse|0.0150638572699,systematic|0.0205866041766,visual_comparison|0.0183089003002,heat_diffusion|0.0173729811327,arc|0.020227395345,pore|0.0315031363527,colon|0.0356009574125,review|0.0272038295966,km|0.0145504144326,fiber|0.0567619725331,centerline|0.0248651187171,em|0.0319986817109,(computer_graphics)|0.00705205680036
datum|0.00588078720097,visibility|0.0147458682826,accommodate|0.0100833326612,vessel|0.0149636121801,morse|0.0181632240112,user_interface|0.0191217885194,path|0.00794499034732,serve|0.0124710655567,representative|0.0194523656778,scalable|0.00878605102824,assemble|0.0140090677047,mandatory|0.0106006130967,preintegration|0.0162055208755,trajectory|0.0293224964883,focused|0.0158584395307,1000|0.013252829289,scattering|0.0372813340563,non-spatial|0.0245176101284,sweep|0.0182212166326,design|0.00704232869425
simulation|0.00572267831239,orthographic_projection|0.01432875116,substantially|0.00995705203941,blood|0.0140036100048,neuroscience|0.0156445214887,vortex_extraction|0.0164382150009,high|0.00774877951335,appropriately|0.00972334240637,uncertainty|0.0146948407055,partial|0.00830607790225,free|0.0128243362741,semi-transparent|0.010362215559,connecting|0.015750709937,oscillation|0.0231430386,ten|0.0153194401252,last|0.012553450351,conference|0.0218004536011,interactive_visualization_technique|0.0112764629973,visual_exploration|0.0147925085124,multivariate|0.00581493062539
analysi|0.00559184797293,infeasible|0.0108676597706,fuzzy|0.00976150257481,training|0.0131782148757,computational_topology|0.0102786765542,light|0.0151109056703,lighting|0.00665906205804,4000|0.00937525295405,direct_manipulation|0.0146835279739,learning|0.00826369849111,visual_analysi|0.0125620582584,translucency|0.0100684559946,span|0.00972094723621,virtual_colonoscopy|0.0152679038208,delivering|0.0117499734366,subjective|0.012482942499,reasoning|0.0142836736889,collaborator|0.0106051963687,focus-and-context|0.0116973357569,practice|0.00545966262825
approach|0.00531985114058,latest|0.0106137646646,hard|0.00963487244601,biomedical|0.0129447816674,ambiguou|0.0101285955494,vortex|0.0143688193844,dynamic_visualization|0.00635697519922,complement|0.0087426842104,lower|0.0129325503995,low-level|0.00820489838188,imaging|0.0113698438011,sensemaking|0.0100680552943,broad|0.00959390584314,anisotropy|0.0132601003548,solver|0.0105267149345,optimized|0.0111561100558,disease|0.0142593690086,class|0.0103095392842,pathological|0.00996244962291,cloud|0.00522941308534
flow|0.00521282817721,inspired|0.00857142950791,collect|0.0092665925843,ieee|0.010555229021,shadow|0.0095990261653,real-time_visualization|0.00918167281752,community|0.00634358119558,conduction|0.00868843324475,iterated|0.00995382579473,extinction|0.00792246721577,fea|0.0111468723712,conclusion|0.00445905437543,heart|0.00919951605312,rich|0.0125721209098,consequently|0.0101423701749,mathematical|0.0096962067383,published|0.0108466336694,chain|0.00877042723838,shaped|0.00980498078123,user|0.00464026981136
volume|0.00498589560114,hinder|0.00749764311924,force-directed|0.00898909219584,pathology|0.00936426551587,indicate|0.00908141397705,filtered|0.00905622460804,dataset|0.00615163393587,ocean|0.00845075970426,skeleton|0.0092587964258,feel|0.0078704528741,tone_mapping|0.010388859472,empirical|0.00421579492698,square|0.00914136333653,sheer|0.00961651312959,discretization|0.00982601485252,multi-variate_datum|0.00879624102463,history|0.010132108239,applicability|0.00816815248522,confirm|0.00958423167989,spatial|0.00458146117734
visualization|0.00472259545421,exact|0.00697472811994,generalizing|0.00888060145887,high-quality|0.00897481284023,lighting|0.00780154561589,realizing|0.00877408957813,microscopy|0.00605818697274,concurrent_visualization|0.0083717026721,defect|0.00862155277298,look-up|0.0078459140402,sensing|0.0101190074565,theory|0.0041335280948,free-form|0.00832957946409,apus|0.00922525873265,interactive_volume_visualization|0.00958715645203,colored|0.00814130811192,linked_view|0.00946558914511,multiple_view|0.00646398889423,radiology|0.009581559888,framework|0.00450705495808
rendering|0.00454095247088,phase|0.00625093556177,euclidean|0.00880711580403,imaging|0.00851443195605,high-frequency|0.00699846942481,transfer|0.00805757121505,3-d|0.00555929844721,simpler|0.00828709112936,imply|0.00848542899106,whether|0.00728892163669,quantify|0.00898914539046,assumption|0.00371231608235,routing|0.00821209742357,despite|0.00876541634378,formulation|0.00953739002425,suggesting|0.00798555304653,neuroscientist|0.00879827802443,eye|0.00385649676776,tomography|0.00927015581553,depth|0.00444981596967
surface|0.00440234478019,isosurface|0.0060615950079,time-varying|0.00450738242312,individual|0.00837923927059,blend|0.00654359376569,low-cost|0.00754898725609,manual|0.00550453485557,partition|0.00827987908414,confirmed|0.00823058807239,gaining|0.00720132413434,containing|0.00882791930256,manually|0.00342729874321,marching|0.00815096416035,periodic|0.00857636572281,usability|0.00415099450887,parameterized|0.00731754073725,entity|0.0085873170757,member|0.00375824970769,keyframe|0.00925088398153,function|0.00437621263971
volume_rendering|0.0043206331634,article|0.00580433427704,attention|0.00435264837062,artery|0.00797622846281,aliasing|0.00641693262916,clearly|0.0074863800932,generation|0.00533594249774,replace|0.00822956776226,least|0.00819642972194,six|0.00655093388952,building|0.00745657886091,patent|0.00315522659298,organized|0.00808020862854,stationary|0.00833212776215,graph_drawing|0.00309794302541,roughly|0.00724019170401,monitoring|0.00856621962753,surrounding|0.00372104576487,immersive|0.00801868871777,interaction|0.00436852808936
application|0.00430783878853,scalability|0.00568950977825,web-based|0.00410072841475,segmentation|0.00770201852038,cover|0.0063167847791,treatment|0.00740398922475,evaluated|0.00525844273338,industrial|0.00807312437141,soft|0.00813445015956,category|0.00602624567956,virtual_reality|0.00702471000434,intuition|0.00302801946142,vortice|0.00795212643117,nerve|0.00831046473898,reflection|0.00289800004597,exact|0.00714269152623,tissue|0.00746959243243,guided|0.00359329494522,discovery|0.00489703987187,could|0.00421595862173
algorithm|0.00423174778208,symmetry|0.0043599428055,&|0.00376191491458,evaluating|0.00685650427858,determining|0.00625161384316,40|0.00735347926034,participant|0.00523523613194,equation|0.00759789526565,patient-specific|0.00805770750079,person|0.00543539644855,geared|0.00668641790985,descriptor|0.00296687660981,crack|0.00792536941834,biological|0.00797383927617,r|0.00283075425364,color-coded|0.00702864576526,chart|0.00680169459175,enough|0.00316750482457,fashion|0.00330987942695,visual|0.00418065740121
image|0.00418245195592,length|0.00374317467535,node-link_diagram|0.0036747907358,naive|0.00673581853374,pose|0.00616554345646,brightnes|0.0071297166775,shape|0.00516467010162,classified|0.00728442679517,vector_field_topology|0.00784919353812,visual_analysi|0.00529463052973,volumetric|0.00667912339785,diagram|0.00284766636728,discussion|0.00790560856377,finite|0.00789788772092,comparable|0.00278357080607,scatterplot|0.00699040116093,item|0.00645192079541,derive|0.00293567073104,customer|0.00275401143492,display|0.00412615087638
structure|0.0040898529891,potentially|0.00318608445601,professional|0.00358579115296,typical|0.00666473633272,visualization_environment|0.00615123864518,coding|0.00665501896187,node|0.00496876493693,active|0.00714641319608,analysing|0.00776558799355,database|0.00456312836268,scientific_visualization|0.00657582561635,introducing|0.00253406903767,calculating|0.00726756358596,serve|0.00701107802113,crossing|0.00258032399657,forward|0.00686918946829,readily|0.00611842811879,quantify|0.00291882269942,office|0.00270745698596,noise|0.00406295351833
modeling|0.00392861966108,sequential|0.0031718424334,membership|0.00311002919625,year|0.00665257873574,adopted|0.00611789650756,regular|0.00660886557876,combination|0.00493060463582,little|0.00634600950405,insufficient|0.00760679494109,matching|0.00367383346253,contour|0.00650365632818,availability|0.00244843027639,data_mining|0.00580103799445,histogram|0.00589157985543,depicting|0.00256972115417,negligible|0.00669720941319,reflect|0.00557910214488,tightly|0.00265761139593,spectral|0.00267630522699,system|0.00404691164324
enable|0.00389962477349,judgement|0.00314913077023,vast|0.00300170879117,4d_pc-mrus|0.00648178985891,illumination|0.00593162015001,assessing|0.00634772326885,spatial|0.00487420694464,manner|0.0051011319209,exponential|0.00750618554497,user_interaction|0.00331216233879,lesson|0.00646272036165,snapshot|0.00241283473114,illustration|0.00532295722608,whose|0.00469873257838,mc|0.00252520734148,priorus|0.00668345818453,table|0.00553170426203,derivative|0.00263313527975,statistical_analysi|0.00249434078512,temporal|0.00392791791695
