Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
vascular|0.0454385719963,conference|0.028242706572,training|0.0417951780845,fiber|0.0558325992908,increasing|0.0129809296544,colon|0.0339316919583,camera|0.00770084630439,vium|0.0128151587064,biomedical|0.038484068956,1000|0.0195411066716,visual_comparison|0.0237367506081,em|0.0357720329821,simulation|0.00668931806681,learner|0.0137680144994,apus|0.0100003499456,trajectory|0.0348106608487,km|0.0136634160645,animation|0.0103549273629,pore|0.015399446935,scattering|0.0332696161624
vessel|0.0301580409226,visual_exploration|0.0143716827062,uncertainty|0.0150013574746,representative|0.0188182138168,phase|0.0124719360266,colon_flattening|0.0239743834935,blood|0.00746479543422,inverse|0.0118382373804,awarenes|0.0124815123137,segmentation|0.0131061271068,shadow|0.0159177315855,centerline|0.0275026281481,lighting|0.00604941296138,user_interface|0.0124318736058,blobby|0.00923649786593,non-spatial|0.027266495081,visual_analysi|0.0133452419235,path|0.00772765957684,heat_diffusion|0.0112872133016,global_illumination|0.0245911721466
pathology|0.0193066285827,iterated|0.01279197528,therapy|0.0103691149617,evaluated|0.00965409564061,focus-and-context|0.0112717853726,virtual_colonoscopy|0.0144431999049,design|0.00686188289086,temporal|0.0110887334556,applications_of_visualization|0.0117576436394,infeasible|0.0124443033067,real-time_visualization|0.0116539770416,free|0.0238508668308,imaging|0.00600929009418,connecting|0.0105025889332,radiology|0.00896508279413,blend|0.0121222996581,workflow|0.0127720496732,enable|0.0058889958966,dynamic_visualization|0.010541682318,ieee|0.0213639646907
community|0.0174213289511,sheer|0.0122793960302,treatment|0.0090260886946,readability|0.00852396034101,mature|0.010884135482,task_performance|0.0134248977833,query|0.00666538369188,trend|0.0105447608356,initiation|0.00935133145386,time-resolved|0.0109877092275,polishing|0.0109806347412,dominant|0.0100417689379,transfer_function|0.00581503174399,ambiguou|0.0100606277991,neighborhood|0.00892179283869,contour|0.0111483165761,individual|0.0100103611449,modeling|0.0057759888664,wall|0.00925660613678,neuroscience|0.0203790486818
evaluating|0.0127743543841,intervention|0.0118346121971,assessing|0.00766933667999,consequently|0.00763501571469,script|0.010718591034,orthographic_projection|0.0120001777255,user|0.00570738183402,maintaining|0.010523414049,comprising|0.00925759823879,scalable|0.0107909988682,registration|0.0105741739787,keyframe|0.00987128745597,ability|0.0053058824228,design|0.0084794950089,emerging|0.00889758205173,square|0.00992213257401,rapidly|0.00972623027734,spherical|0.00517691864443,vortex_extraction|0.00783014200647,reasoning|0.0120067577021
denoising|0.0126436727841,optimally|0.0110751816135,consistently|0.00682397833749,practitioner|0.00733469650751,latest|0.0106394431443,user's|0.00884097585405,visual|0.00569255708992,connection|0.00980908859248,alternatively|0.00830855018352,complement|0.0107710330178,low-level|0.0103128262542,mental|0.00861920352127,datum|0.00519983631529,manual|0.00804881972541,color-coded|0.00847675938401,visual_analysi|0.00975166390754,custom|0.00921618190502,multi-touch|0.00512580134581,tessellation|0.00746814306869,domain-specific|0.010885992075
quantify|0.0112520784106,insensitive|0.0109820262643,analysis|0.0063471548232,euclidean|0.00728331026798,replace|0.00903017154845,robust|0.00858598358979,analysi|0.00544599400505,pose|0.00698033328539,connection|0.00819671475049,roughly|0.0104402089418,least|0.00984571964397,luman|0.00626154987794,application|0.00515858007104,visibility|0.00793539899295,confirm|0.0084499513818,finite|0.00955571195785,macro|0.00918447105126,preintegration|0.00479859864971,neuronal|0.00729554747172,additionally|0.0107636014216
diagnosi|0.0101529015167,morphing|0.0108652302671,machine_learning|0.00531189639665,selectively|0.0062046990811,crack|0.00895466913555,aliasing|0.00844900951236,expert|0.00528522597293,flame|0.0069536369415,vast|0.00792372897979,routine|0.00869449294982,motivate|0.0095896557316,text|0.00621616913534,framework|0.00509223031471,style|0.00759400429561,40|0.00825626621202,spline|0.00820519104915,high-dimensional_datum|0.0090037444586,sweep|0.00457665444321,vortex|0.0064707699833,task_and_requirements_analysi|0.0084625114827
high-frequency|0.00807600427669,soft|0.0106110312736,individual|0.00523472015174,unlike|0.00580546479588,pathological|0.00884378724172,imply|0.00792698564212,multivariate|0.00524412967781,day|0.00675386846125,involf|0.00764197347012,concurrent_visualization|0.00860729633292,optical|0.00887607656132,intermediate|0.00590973275981,practice|0.00500936716194,creating|0.0066148259083,interactive_volume_visualization|0.00822080344362,text|0.0062731826501,sdk|0.00855131612582,arc|0.00453713778036,criterion|0.00624349543486,benefit|0.00821707865195
span|0.00727638647575,patient-specific|0.0105340140985,performing|0.00518968726213,prior|0.00528650627098,sometime|0.00853548012258,stationary|0.00790139443142,graph|0.00519385745541,look-up|0.00667288196589,word|0.00425080583552,scalability|0.00536637369359,contribute|0.00868623849005,city|0.00422279256994,volumetric|0.00490197460997,philosophy|0.00650367530587,established|0.00676922668742,protein|0.00485249260651,navigated|0.00826081122371,selection|0.00452205179813,thin|0.00619488232627,appropriately|0.00797858031481
