Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
cloud|0.0112398880465,em|0.0219097917646,ambient|0.0262334322453,km|0.0143641664976,ieee|0.0298143126137,ten|0.0165978013092,visual_analysi|0.0172620786235,biomedical|0.0409231780029,representative|0.0232531592448,evaluated|0.0183059392582,design|0.00689230577779,non-spatial|0.0399776589386,illumination|0.0352447818328,naive|0.0156865126744,centerline|0.029037540588,microscopy|0.0108338672638,fiber|0.0612299590411,3-d|0.0264356120583,assemble|0.0312448991924,custom|0.0213286251279
graph|0.00905057981936,rich|0.011609170344,neuroscience|0.0236088763781,optimized|0.0121665970832,systematic|0.0218341184979,substantially|0.0128999735127,high-frequency|0.014861450253,span|0.0122496334473,visual_analysi|0.0146806396072,wall|0.0149574983356,vascular|0.00682111355044,subjective|0.0155838916684,morse|0.0291483726212,fea|0.0149799487259,trajectory|0.0234967640544,mapping|0.0090317228366,flattening|0.0217750191274,uncertainty|0.0164514895991,navigated|0.0147677696886,emerging|0.011271176364
animation|0.0085092210126,imaging|0.00969573645277,cardiovascular|0.0150638659211,indistinguishable|0.0110042147234,anisotropy|0.0123878123008,trajectory|0.0110342542731,monitoring|0.0109757229249,despite|0.0122142185063,iterated|0.0120536640156,delivering|0.0101071380416,analysi|0.00595268513773,discovered|0.0103514563387,pc|0.0218933307099,reasoning|0.0139168371104,oscillation|0.020282818504,topological|0.0085011380465,tessellation|0.0151154549685,learning|0.016402386231,contour|0.0127185598897,weather|0.0111259199847
training|0.00824554258837,implicit|0.00915722643614,disease|0.0145649501135,suggesting|0.0095451829811,sheer|0.0104586466584,inspection|0.0109852150869,suffer|0.0094947452521,nontrivial|0.0106934862116,geared|0.0117210584338,procedural|0.00976943604821,visual|0.00566395885772,blend|0.00988594872404,trend|0.015860934298,sweep|0.0135106455847,lense|0.0171531479688,noise|0.00715784195142,sensing|0.0134935894384,skeleton|0.0125589084321,climate|0.0109072699396,square|0.0107697322292
flow|0.00795962672996,evaluating|0.00859557597282,reliable|0.0114995611125,imply|0.00929141463188,philosophy|0.0104313851961,calibration|0.0105293383914,flow|0.00320352449587,commonly|0.0101481721166,radial|0.0105842652643,adjusted|0.00945296038108,volume|0.005341632457,literature|0.00969935287762,visibility|0.0147437017864,illumination|0.0134028168481,imaging|0.0159867884018,however|0.00654263027117,high-quality|0.0134455482123,stationary|0.0120910046718,assessing|0.00939307729549,dominant|0.0105324117799
community|0.0070514291565,sdk|0.00792372981636,filtered|0.0102238042612,head|0.00918708286899,vast|0.00994031393768,guideline|0.00425900320166,interpolation|0.0030615850053,registration|0.0100408079194,therapy|0.0105546814916,consuming|0.0090964748272,scattering|0.00512990898056,parameterized|0.00916183778684,awarenes|0.01469172477,increased|0.0125042532743,quantify|0.0154733978223,serve|0.00650772556993,inverse|0.0133032111308,collect|0.0112328257738,atmospheric|0.00836927865049,discretization|0.0103965195717
cluster|0.00674123726585,apus|0.00786147862685,depend|0.00997043065647,low-level|0.00878334477841,iterative|0.00886195533685,professional|0.00382700248059,morse-smale|0.0028195400637,keyframe|0.00993874985425,concurrent|0.0100190759798,driven|0.00866655750892,datum|0.00509100255039,fuzzy|0.00913787488118,latest|0.0115575038927,multi-scale|0.0110350487921,user's|0.0100689128235,physically|0.00624284928703,preintegration|0.0121134725642,vector_field_topology|0.0111536463208,news|0.00621344892433,analytical|0.00969455680995
practice|0.00667681874321,cover|0.00766789051371,additional|0.00973179356039,chain|0.0081389409002,topologically|0.00884769780226,b|0.00269206153708,dynamic_datum|0.0024247116769,contribute|0.00946162442879,free-form|0.00972929591383,solver|0.00806434832691,colon|0.00500474415826,builder|0.0090251393072,confirmed|0.0101966310896,split|0.0102838635074,periodic|0.00927174435795,segmentation|0.00600636647341,orthographic|0.0115054756937,low-cost|0.0101137972869,leverage|0.00485603812603,closer|0.00958760097408
light|0.00665943537347,aliasing|0.00764776823083,neuroscientist|0.00915270386773,time-resolved|0.00792555179948,either|0.00791583408501,actor|0.00246831445249,flow_visualization|0.00224849874747,organized|0.00913079286238,polyp|0.00966376651113,tediou|0.00759132777269,evaluation|0.00495449776411,simpler|0.00840831174496,semi-automatic|0.00845836720043,analyst|0.00931788844457,comprehend|0.00871393626957,robust|0.00597101741066,focused|0.0105488788783,industrial|0.00935220476879,matching|0.00480074831304,priorus|0.00840627877262
vortex|0.00537570823254,commercial|0.00755967613909,specialist|0.00822159815466,questionnaire|0.00751198868712,recover|0.00759260352397,matter|0.00242342165946,probabilistic|0.00221933338581,wall|0.00820367930006,routing|0.00954368409021,crack|0.00756024133079,task|0.00494076847159,document|0.00817412562158,suited|0.00742845872785,infeasible|0.0087041277479,feel|0.00855013745973,neuronal|0.00574761338088,purpose|0.0098797028266,illustration|0.00609338237203,clustering|0.00465464529993,capture|0.00737255141954
